Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Paraíba
Hiper c/ Diabete por Município
Período:Out/2010
"Município";"Hiper_c/_Diabete"
"250020 AGUIAR";3
"250030 ALAGOA GRANDE";3
"250077 APARECIDA";2
"250090 ARARA";2
"250150 BANANEIRAS";1
"250153 BARAUNA";3
"250157 BARRA DE SANTANA";7
"250180 BAYEUX";10
"250190 BELEM";3
"250215 BOA VISTA";1
"250240 BONITO DE SANTA FE";6
"250300 CAAPORA";14
"250320 CABEDELO";5
"250330 CACHOEIRA DOS INDIOS";1
"250355 CACIMBAS";9
"250400 CAMPINA GRANDE";29
"250420 CATINGUEIRA";1
"250450 CONDADO";9
"250460 CONDE";1
"250470 CONGO";2
"250490 CRUZ DO ESPIRITO SANTO";1
"250550 VISTA SERRANA";1
"250610 FAGUNDES";2
"250625 GADO BRAVO";15
"250680 INGA";1
"250740 JERICO";2
"250750 JOAO PESSOA";95
"250780 JUNCO DO SERIDO";1
"250810 LAGOA";21
"250820 LAGOA DE DENTRO";1
"250830 LAGOA SECA";1
"250840 LASTRO";1
"250855 LOGRADOURO";1
"250860 LUCENA";1
"250890 MAMANGUAPE";7
"250910 MARI";1
"250920 MASSARANDUBA";2
"250930 MATARACA";1
"250950 MONTADAS";1
"250970 MONTEIRO";19
"251050 OLIVEDOS";1
"251060 OURO VELHO";5
"251080 PATOS";3
"251140 PICUI";1
"251180 PIRPIRITUBA";2
"251200 POCINHOS";7
"251250 QUEIMADAS";3
"251278 RIACHO DE SANTO ANTONIO";4
"251300 SALGADINHO";1
"251330 SANTA HELENA";2
"251340 SANTA LUZIA";3
"251390 SAO BENTO";15
"251410 SAO JOAO DO TIGRE";1
"251445 SAO JOSE DOS RAMOS";65
"251570 SERRA GRANDE";2
"251597 SOBRADO";1
"251640 TACIMA";63
"251650 TAPEROA";1
"251670 TEIXEIRA";99
"Total";566
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
