Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Paraíba
Hiper c/ Diabete por Município
Período:Nov/2010
"Município";"Hiper_c/_Diabete"
"250030 ALAGOA GRANDE";3
"250040 ALAGOA NOVA";2
"250060 ALHANDRA";3
"250077 APARECIDA";2
"250090 ARARA";5
"250110 AREIA";1
"250130 AROEIRAS";2
"250153 BARAUNA";4
"250170 BARRA DE SAO MIGUEL";2
"250180 BAYEUX";35
"250190 BELEM";1
"250220 BOM JESUS";4
"250240 BONITO DE SANTA FE";5
"250250 BOQUEIRAO";2
"250300 CAAPORA";5
"250320 CABEDELO";3
"250370 CAJAZEIRAS";1
"250400 CAMPINA GRANDE";45
"250415 CASSERENGUE";3
"250420 CATINGUEIRA";2
"250435 CATURITE";4
"250450 CONDADO";1
"250460 CONDE";1
"250490 CRUZ DO ESPIRITO SANTO";3
"250530 CURRAL VELHO";6
"250600 ESPERANCA";1
"250610 FAGUNDES";1
"250625 GADO BRAVO";7
"250640 GURINHEM";1
"250740 JERICO";13
"250750 JOAO PESSOA";101
"250760 JUAREZ TAVORA";1
"250770 JUAZEIRINHO";1
"250780 JUNCO DO SERIDO";2
"250820 LAGOA DE DENTRO";2
"250830 LAGOA SECA";1
"250840 LASTRO";2
"250850 LIVRAMENTO";1
"250860 LUCENA";3
"250890 MAMANGUAPE";7
"250910 MARI";4
"250920 MASSARANDUBA";14
"250930 MATARACA";3
"250970 MONTEIRO";3
"251020 NOVA OLINDA";2
"251060 OURO VELHO";3
"251080 PATOS";2
"251180 PIRPIRITUBA";1
"251200 POCINHOS";6
"251220 PRATA";4
"251250 QUEIMADAS";4
"251290 RIO TINTO";1
"251385 SANTO ANDRE";1
"251394 SAO DOMINGOS DO CARIRI";2
"251410 SAO JOAO DO TIGRE";1
"251445 SAO JOSE DOS RAMOS";22
"251570 SERRA GRANDE";13
"251597 SOBRADO";6
"251610 SOLEDADE";10
"251620 SOUSA";11
"251640 TACIMA";20
"251670 TEIXEIRA";36
"251710 VARZEA";1
"Total";459
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
