Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Paraíba
Hiper c/ Diabete por Município
Período:Dez/2010
"Município";"Hiper_c/_Diabete"
"250040 ALAGOA NOVA";2
"250060 ALHANDRA";1
"250090 ARARA";2
"250120 AREIAL";1
"250135 ASSUNCAO";1
"250157 BARRA DE SANTANA";11
"250170 BARRA DE SAO MIGUEL";22
"250180 BAYEUX";21
"250190 BELEM";1
"250215 BOA VISTA";4
"250220 BOM JESUS";9
"250240 BONITO DE SANTA FE";2
"250250 BOQUEIRAO";1
"250300 CAAPORA";20
"250320 CABEDELO";1
"250400 CAMPINA GRANDE";26
"250435 CATURITE";4
"250490 CRUZ DO ESPIRITO SANTO";8
"250530 CURRAL VELHO";5
"250610 FAGUNDES";5
"250620 FREI MARTINHO";1
"250625 GADO BRAVO";2
"250740 JERICO";6
"250750 JOAO PESSOA";72
"250820 LAGOA DE DENTRO";1
"250890 MAMANGUAPE";2
"250905 MARCACAO";19
"250910 MARI";1
"250970 MONTEIRO";2
"251080 PATOS";3
"251140 PICUI";1
"251200 POCINHOS";3
"251220 PRATA";1
"251250 QUEIMADAS";4
"251278 RIACHO DE SANTO ANTONIO";2
"251290 RIO TINTO";1
"251300 SALGADINHO";1
"251310 SALGADO DE SAO FELIX";4
"251385 SANTO ANDRE";1
"251445 SAO JOSE DOS RAMOS";3
"251597 SOBRADO";1
"251620 SOUSA";4
"251640 TACIMA";4
"251650 TAPEROA";3
"251670 TEIXEIRA";8
"251710 VARZEA";1
"Total";298
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
