Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Paraíba
Hiper c/ Diabete por Município
Período:Fev/2010
"Município";"Hiper_c/_Diabete"
"250010 AGUA BRANCA";4
"250030 ALAGOA GRANDE";3
"250040 ALAGOA NOVA";2
"250053 ALCANTIL";1
"250090 ARARA";2
"250130 AROEIRAS";4
"250135 ASSUNCAO";3
"250150 BANANEIRAS";2
"250180 BAYEUX";10
"250190 BELEM";1
"250210 BOA VENTURA";3
"250250 BOQUEIRAO";1
"250270 BORBOREMA";5
"250300 CAAPORA";4
"250320 CABEDELO";12
"250330 CACHOEIRA DOS INDIOS";1
"250400 CAMPINA GRANDE";36
"250415 CASSERENGUE";2
"250435 CATURITE";1
"250450 CONDADO";1
"250460 CONDE";2
"250490 CRUZ DO ESPIRITO SANTO";1
"250600 ESPERANCA";1
"250680 INGA";1
"250730 JACARAU";5
"250750 JOAO PESSOA";80
"250780 JUNCO DO SERIDO";1
"250820 LAGOA DE DENTRO";2
"250830 LAGOA SECA";4
"250850 LIVRAMENTO";1
"250860 LUCENA";2
"250880 MALTA";2
"250890 MAMANGUAPE";83
"250910 MARI";1
"250920 MASSARANDUBA";4
"250950 MONTADAS";1
"250970 MONTEIRO";1
"250980 MULUNGU";2
"250990 NATUBA";2
"251080 PATOS";3
"251100 PEDRA BRANCA";6
"251200 POCINHOS";1
"251220 PRATA";2
"251250 QUEIMADAS";10
"251290 RIO TINTO";5
"251300 SALGADINHO";1
"251340 SANTA LUZIA";1
"251540 SAO VICENTE DO SERIDO";2
"251640 TACIMA";2
"251670 TEIXEIRA";3
"251720 VIEIROPOLIS";1
"Total";331
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
