Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Paraíba
Hiper c/ Diabete por Município
Período:Mar/2010
"Município";"Hiper_c/_Diabete"
"250010 AGUA BRANCA";3
"250030 ALAGOA GRANDE";5
"250040 ALAGOA NOVA";2
"250090 ARARA";1
"250115 AREIA DE BARAUNAS";1
"250130 AROEIRAS";11
"250180 BAYEUX";8
"250210 BOA VENTURA";2
"250300 CAAPORA";8
"250310 CABACEIRAS";2
"250320 CABEDELO";9
"250330 CACHOEIRA DOS INDIOS";6
"250370 CAJAZEIRAS";2
"250390 CAMALAU";1
"250400 CAMPINA GRANDE";87
"250420 CATINGUEIRA";3
"250450 CONDADO";1
"250460 CONDE";1
"250490 CRUZ DO ESPIRITO SANTO";5
"250620 FREI MARTINHO";2
"250670 IMACULADA";2
"250680 INGA";1
"250720 ITATUBA";1
"250730 JACARAU";2
"250750 JOAO PESSOA";185
"250780 JUNCO DO SERIDO";10
"250820 LAGOA DE DENTRO";1
"250830 LAGOA SECA";11
"250840 LASTRO";1
"250860 LUCENA";2
"250870 MAE D'AGUA";2
"250890 MAMANGUAPE";126
"250905 MARCACAO";6
"250910 MARI";2
"250920 MASSARANDUBA";2
"250933 MATINHAS";1
"250950 MONTADAS";2
"250970 MONTEIRO";1
"251020 NOVA OLINDA";2
"251080 PATOS";12
"251100 PEDRA BRANCA";2
"251130 PIANCO";1
"251180 PIRPIRITUBA";1
"251200 POCINHOS";4
"251220 PRATA";4
"251250 QUEIMADAS";13
"251290 RIO TINTO";5
"251300 SALGADINHO";1
"251315 SANTA CECILIA";3
"251330 SANTA HELENA";2
"251340 SANTA LUZIA";1
"251350 SANTANA DE MANGUEIRA";3
"251394 SAO DOMINGOS DO CARIRI";1
"251400 SAO JOAO DO CARIRI";1
"251430 SAO JOSE DE CAIANA";5
"251445 SAO JOSE DOS RAMOS";2
"251460 SAO JOSE DO BONFIM";3
"251540 SAO VICENTE DO SERIDO";6
"251597 SOBRADO";3
"251600 SOLANEA";4
"251610 SOLEDADE";10
"251670 TEIXEIRA";7
"251720 VIEIROPOLIS";2
"Total";616
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
