Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Paraíba
Hiper c/ Diabete por Município
Período:Abr/2010
"Município";"Hiper_c/_Diabete"
"250020 AGUIAR";1
"250030 ALAGOA GRANDE";6
"250040 ALAGOA NOVA";13
"250090 ARARA";2
"250120 AREIAL";3
"250130 AROEIRAS";27
"250135 ASSUNCAO";1
"250157 BARRA DE SANTANA";1
"250180 BAYEUX";7
"250240 BONITO DE SANTA FE";1
"250250 BOQUEIRAO";2
"250270 BORBOREMA";2
"250300 CAAPORA";13
"250320 CABEDELO";7
"250330 CACHOEIRA DOS INDIOS";2
"250400 CAMPINA GRANDE";49
"250450 CONDADO";1
"250460 CONDE";3
"250470 CONGO";1
"250490 CRUZ DO ESPIRITO SANTO";2
"250600 ESPERANCA";1
"250610 FAGUNDES";1
"250680 INGA";2
"250730 JACARAU";2
"250740 JERICO";1
"250750 JOAO PESSOA";154
"250780 JUNCO DO SERIDO";2
"250830 LAGOA SECA";14
"250850 LIVRAMENTO";1
"250860 LUCENA";3
"250890 MAMANGUAPE";29
"250905 MARCACAO";1
"250910 MARI";3
"250920 MASSARANDUBA";1
"250990 NATUBA";1
"251050 OLIVEDOS";1
"251080 PATOS";9
"251200 POCINHOS";4
"251220 PRATA";3
"251250 QUEIMADAS";5
"251290 RIO TINTO";2
"251330 SANTA HELENA";2
"251350 SANTANA DE MANGUEIRA";1
"251390 SAO BENTO";2
"251400 SAO JOAO DO CARIRI";1
"251540 SAO VICENTE DO SERIDO";4
"251610 SOLEDADE";5
"251670 TEIXEIRA";7
"251710 VARZEA";3
"Total";409
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
