Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Paraíba
Hiper c/ Diabete por Município
Período:Mai/2010
"Município";"Hiper_c/_Diabete"
"250010 AGUA BRANCA";2
"250020 AGUIAR";1
"250030 ALAGOA GRANDE";9
"250040 ALAGOA NOVA";22
"250077 APARECIDA";1
"250090 ARARA";3
"250130 AROEIRAS";1
"250135 ASSUNCAO";2
"250157 BARRA DE SANTANA";1
"250180 BAYEUX";8
"250190 BELEM";3
"250240 BONITO DE SANTA FE";2
"250300 CAAPORA";8
"250320 CABEDELO";8
"250370 CAJAZEIRAS";3
"250400 CAMPINA GRANDE";51
"250420 CATINGUEIRA";1
"250450 CONDADO";2
"250460 CONDE";1
"250490 CRUZ DO ESPIRITO SANTO";2
"250600 ESPERANCA";1
"250625 GADO BRAVO";1
"250740 JERICO";3
"250750 JOAO PESSOA";155
"250780 JUNCO DO SERIDO";48
"250820 LAGOA DE DENTRO";1
"250830 LAGOA SECA";10
"250840 LASTRO";1
"250850 LIVRAMENTO";1
"250860 LUCENA";21
"250890 MAMANGUAPE";65
"250920 MASSARANDUBA";4
"250930 MATARACA";1
"250933 MATINHAS";2
"250950 MONTADAS";1
"250970 MONTEIRO";2
"251080 PATOS";7
"251180 PIRPIRITUBA";2
"251200 POCINHOS";5
"251250 QUEIMADAS";1
"251290 RIO TINTO";1
"251310 SALGADO DE SAO FELIX";1
"251350 SANTANA DE MANGUEIRA";1
"251390 SAO BENTO";2
"251445 SAO JOSE DOS RAMOS";2
"251540 SAO VICENTE DO SERIDO";14
"251597 SOBRADO";1
"251600 SOLANEA";1
"251610 SOLEDADE";11
"251670 TEIXEIRA";10
"251680 TRIUNFO";3
"251710 VARZEA";2
"Total";512
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
