Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Paraíba
Hiper c/ Diabete por Município
Período:Jun/2010
"Município";"Hiper_c/_Diabete"
"250020 AGUIAR";1
"250030 ALAGOA GRANDE";12
"250040 ALAGOA NOVA";11
"250077 APARECIDA";19
"250090 ARARA";3
"250120 AREIAL";1
"250130 AROEIRAS";3
"250135 ASSUNCAO";30
"250153 BARAUNA";2
"250157 BARRA DE SANTANA";2
"250180 BAYEUX";6
"250190 BELEM";1
"250240 BONITO DE SANTA FE";1
"250300 CAAPORA";4
"250320 CABEDELO";2
"250400 CAMPINA GRANDE";15
"250460 CONDE";2
"250490 CRUZ DO ESPIRITO SANTO";3
"250600 ESPERANCA";2
"250610 FAGUNDES";4
"250620 FREI MARTINHO";1
"250625 GADO BRAVO";8
"250740 JERICO";5
"250750 JOAO PESSOA";166
"250780 JUNCO DO SERIDO";6
"250830 LAGOA SECA";3
"250860 LUCENA";3
"250890 MAMANGUAPE";9
"250910 MARI";2
"250930 MATARACA";1
"250933 MATINHAS";2
"251080 PATOS";5
"251140 PICUI";1
"251200 POCINHOS";3
"251220 PRATA";1
"251250 QUEIMADAS";8
"251290 RIO TINTO";4
"251315 SANTA CECILIA";1
"251330 SANTA HELENA";1
"251340 SANTA LUZIA";2
"251350 SANTANA DE MANGUEIRA";2
"251390 SAO BENTO";1
"251400 SAO JOAO DO CARIRI";1
"251440 SAO JOSE DE ESPINHARAS";2
"251445 SAO JOSE DOS RAMOS";2
"251560 SERRA DA RAIZ";1
"251600 SOLANEA";1
"251610 SOLEDADE";6
"251650 TAPEROA";1
"Total";373
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
