Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Paraíba
Hiper c/ Diabete por Município
Período:Jul/2010
"Município";"Hiper_c/_Diabete"
"250010 AGUA BRANCA";2
"250020 AGUIAR";2
"250030 ALAGOA GRANDE";8
"250040 ALAGOA NOVA";1
"250077 APARECIDA";36
"250090 ARARA";8
"250130 AROEIRAS";1
"250135 ASSUNCAO";6
"250157 BARRA DE SANTANA";1
"250180 BAYEUX";6
"250300 CAAPORA";60
"250310 CABACEIRAS";3
"250320 CABEDELO";5
"250370 CAJAZEIRAS";2
"250400 CAMPINA GRANDE";29
"250420 CATINGUEIRA";5
"250435 CATURITE";1
"250450 CONDADO";1
"250490 CRUZ DO ESPIRITO SANTO";2
"250600 ESPERANCA";5
"250610 FAGUNDES";1
"250625 GADO BRAVO";4
"250670 IMACULADA";2
"250720 ITATUBA";1
"250740 JERICO";6
"250750 JOAO PESSOA";121
"250780 JUNCO DO SERIDO";1
"250820 LAGOA DE DENTRO";4
"250830 LAGOA SECA";11
"250850 LIVRAMENTO";1
"250855 LOGRADOURO";1
"250860 LUCENA";25
"250890 MAMANGUAPE";15
"250910 MARI";4
"250920 MASSARANDUBA";2
"250930 MATARACA";1
"250970 MONTEIRO";4
"251020 NOVA OLINDA";15
"251080 PATOS";11
"251200 POCINHOS";4
"251220 PRATA";2
"251250 QUEIMADAS";7
"251290 RIO TINTO";2
"251315 SANTA CECILIA";1
"251330 SANTA HELENA";3
"251340 SANTA LUZIA";1
"251350 SANTANA DE MANGUEIRA";1
"251394 SAO DOMINGOS DO CARIRI";3
"251445 SAO JOSE DOS RAMOS";2
"251460 SAO JOSE DO BONFIM";2
"251597 SOBRADO";3
"251670 TEIXEIRA";2
"Total";447
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
