Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Paraíba
Hiper c/ Diabete por Município
Período:Ago/2010
"Município";"Hiper_c/_Diabete"
"250030 ALAGOA GRANDE";13
"250040 ALAGOA NOVA";5
"250077 APARECIDA";19
"250090 ARARA";6
"250130 AROEIRAS";7
"250135 ASSUNCAO";1
"250150 BANANEIRAS";1
"250153 BARAUNA";2
"250157 BARRA DE SANTANA";1
"250180 BAYEUX";13
"250240 BONITO DE SANTA FE";3
"250250 BOQUEIRAO";4
"250300 CAAPORA";34
"250310 CABACEIRAS";2
"250320 CABEDELO";9
"250355 CACIMBAS";8
"250370 CAJAZEIRAS";3
"250400 CAMPINA GRANDE";26
"250415 CASSERENGUE";1
"250420 CATINGUEIRA";3
"250450 CONDADO";2
"250490 CRUZ DO ESPIRITO SANTO";1
"250600 ESPERANCA";3
"250610 FAGUNDES";1
"250620 FREI MARTINHO";1
"250625 GADO BRAVO";4
"250640 GURINHEM";1
"250650 GURJAO";3
"250670 IMACULADA";1
"250740 JERICO";4
"250750 JOAO PESSOA";140
"250770 JUAZEIRINHO";1
"250780 JUNCO DO SERIDO";3
"250830 LAGOA SECA";14
"250840 LASTRO";2
"250850 LIVRAMENTO";2
"250855 LOGRADOURO";1
"250860 LUCENA";9
"250890 MAMANGUAPE";15
"250910 MARI";4
"250920 MASSARANDUBA";2
"250930 MATARACA";2
"250933 MATINHAS";1
"250950 MONTADAS";5
"251020 NOVA OLINDA";19
"251080 PATOS";6
"251140 PICUI";1
"251180 PIRPIRITUBA";7
"251200 POCINHOS";2
"251250 QUEIMADAS";10
"251278 RIACHO DE SANTO ANTONIO";2
"251290 RIO TINTO";16
"251340 SANTA LUZIA";1
"251390 SAO BENTO";8
"251394 SAO DOMINGOS DO CARIRI";2
"251410 SAO JOAO DO TIGRE";2
"251460 SAO JOSE DO BONFIM";1
"251540 SAO VICENTE DO SERIDO";1
"251560 SERRA DA RAIZ";1
"251570 SERRA GRANDE";1
"251610 SOLEDADE";3
"251680 TRIUNFO";1
"251710 VARZEA";3
"Total";470
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
