Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Paraíba
Hiper c/ Diabete por Município
Período:Set/2010
"Município";"Hiper_c/_Diabete"
"250010 AGUA BRANCA";6
"250020 AGUIAR";1
"250030 ALAGOA GRANDE";23
"250040 ALAGOA NOVA";2
"250053 ALCANTIL";1
"250060 ALHANDRA";2
"250077 APARECIDA";8
"250090 ARARA";1
"250110 AREIA";1
"250120 AREIAL";1
"250135 ASSUNCAO";1
"250150 BANANEIRAS";2
"250153 BARAUNA";2
"250157 BARRA DE SANTANA";2
"250180 BAYEUX";13
"250240 BONITO DE SANTA FE";1
"250300 CAAPORA";3
"250320 CABEDELO";6
"250330 CACHOEIRA DOS INDIOS";1
"250355 CACIMBAS";11
"250400 CAMPINA GRANDE";26
"250410 CARRAPATEIRA";2
"250415 CASSERENGUE";1
"250435 CATURITE";2
"250460 CONDE";2
"250470 CONGO";1
"250490 CRUZ DO ESPIRITO SANTO";1
"250600 ESPERANCA";1
"250610 FAGUNDES";2
"250620 FREI MARTINHO";1
"250625 GADO BRAVO";3
"250680 INGA";2
"250700 ITAPORANGA";1
"250730 JACARAU";2
"250740 JERICO";5
"250750 JOAO PESSOA";136
"250780 JUNCO DO SERIDO";5
"250830 LAGOA SECA";4
"250855 LOGRADOURO";15
"250860 LUCENA";8
"250890 MAMANGUAPE";7
"250910 MARI";2
"250920 MASSARANDUBA";4
"250930 MATARACA";1
"250970 MONTEIRO";3
"251020 NOVA OLINDA";7
"251080 PATOS";7
"251120 PEDRAS DE FOGO";2
"251180 PIRPIRITUBA";3
"251200 POCINHOS";6
"251250 QUEIMADAS";11
"251290 RIO TINTO";4
"251310 SALGADO DE SAO FELIX";1
"251315 SANTA CECILIA";1
"251390 SAO BENTO";8
"251394 SAO DOMINGOS DO CARIRI";3
"251410 SAO JOAO DO TIGRE";3
"251445 SAO JOSE DOS RAMOS";12
"251460 SAO JOSE DO BONFIM";1
"251597 SOBRADO";1
"251610 SOLEDADE";5
"251640 TACIMA";17
"251650 TAPEROA";1
"251670 TEIXEIRA";1
"251710 VARZEA";1
"Total";420
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
