Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Paraná
Hiper c/ Diabete por Município
Período:Jan/2010
"Município";"Hiper_c/_Diabete"
"410030 AGUDOS DO SUL";14
"410050 ALTONIA";11
"410060 ALTO PARANA";2
"410140 APUCARANA";2
"410180 ARAUCARIA";1
"410310 BOCAIUVA DO SUL";7
"410350 CALIFORNIA";1
"410400 CAMPINA GRANDE DO SUL";10
"410420 CAMPO LARGO";25
"410480 CASCAVEL";9
"410490 CASTRO";1
"410550 CIANORTE";3
"410580 COLOMBO";37
"410590 COLORADO";1
"410630 CORBELIA";10
"410650 CORONEL VIVIDA";7
"410730 DOUTOR CAMARGO";4
"410760 FAXINAL";1
"410765 FAZENDA RIO GRANDE";2
"410775 FIGUEIRA";1
"410830 FOZ DO IGUACU";18
"410895 GUAMIRANGA";24
"410940 GUARAPUAVA";5
"410960 GUARATUBA";11
"410980 IBIPORA";18
"410990 ICARAIMA";1
"411007 IMBAU";1
"411010 IMBITUVA";1
"411125 ITAPERUCU";1
"411180 JACAREZINHO";2
"411200 JAGUARIAIVA";47
"411210 JANDAIA DO SUL";3
"411230 JAPIRA";2
"411310 KALORE";2
"411370 LONDRINA";1
"411410 MANDAGUACU";1
"411420 MANDAGUARI";68
"411460 MARECHAL CANDIDO RONDON";11
"411520 MARINGA";113
"411560 MATELANDIA";1
"411620 MORRETES";1
"411640 NOSSA SENHORA DAS GRACAS";6
"411690 NOVA ESPERANCA";55
"411760 PALMAS";1
"411770 PALMEIRA";4
"411790 PALOTINA";1
"411840 PARANAVAI";8
"411940 PIRAI DO SUL";7
"411950 PIRAQUARA";1
"411995 PONTAL DO PARANA";5
"412040 PRESIDENTE CASTELO BRANCO";1
"412060 PRUDENTOPOLIS";3
"412120 QUITANDINHA";4
"412160 RENASCENCA";1
"412180 RIBEIRAO CLARO";6
"412220 RIO BRANCO DO SUL";1
"412240 ROLANDIA";3
"412405 SANTA TEREZINHA DE ITAIPU";3
"412550 SAO JOSE DOS PINHAIS";22
"412570 SAO MIGUEL DO IGUACU";15
"412620 SAPOPEMA";11
"412630 SENGES";1
"412660 SIQUEIRA CAMPOS";5
"412770 TOLEDO";22
"412785 TRES BARRAS DO PARANA";1
"412810 UMUARAMA";32
"412820 UNIAO DA VITORIA";2
"412850 WENCESLAU BRAZ";2
"Total";704
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
