Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Paraná
Hiper c/ Diabete por Município
Período:Out/2010
"Município";"Hiper_c/_Diabete"
"410060 ALTO PARANA";6
"410130 ANTONIO OLINTO";15
"410140 APUCARANA";9
"410150 ARAPONGAS";10
"410305 BOA VISTA DA APARECIDA";3
"410350 CALIFORNIA";1
"410400 CAMPINA GRANDE DO SUL";11
"410420 CAMPO LARGO";10
"410425 CAMPO MAGRO";1
"410480 CASCAVEL";15
"410490 CASTRO";34
"410550 CIANORTE";4
"410580 COLOMBO";52
"410590 COLORADO";2
"410630 CORBELIA";4
"410700 CURIUVA";3
"410730 DOUTOR CAMARGO";3
"410775 FIGUEIRA";6
"410790 FLORESTA";4
"410810 FLORIDA";3
"410830 FOZ DO IGUACU";30
"410845 FOZ DO JORDAO";6
"410940 GUARAPUAVA";15
"410960 GUARATUBA";5
"410980 IBIPORA";2
"411010 IMBITUVA";2
"411020 INACIO MARTINS";3
"411060 IPORA";31
"411140 IVAI";1
"411180 JACAREZINHO";19
"411210 JANDAIA DO SUL";1
"411310 KALORE";1
"411320 LAPA";62
"411400 MAMBORE";3
"411460 MARECHAL CANDIDO RONDON";5
"411490 MARILANDIA DO SUL";3
"411520 MARINGA";69
"411560 MATELANDIA";157
"411573 MATO RICO";1
"411590 MIRADOR";2
"411605 MISSAL";16
"411690 NOVA ESPERANCA";3
"411760 PALMAS";4
"411770 PALMEIRA";5
"411790 PALOTINA";4
"411840 PARANAVAI";10
"411860 PAULA FREITAS";2
"411890 PEROLA";1
"411910 PIEN";7
"411915 PINHAIS";3
"411940 PIRAI DO SUL";15
"411950 PIRAQUARA";8
"412040 PRESIDENTE CASTELO BRANCO";9
"412080 QUATRO BARRAS";4
"412120 QUITANDINHA";6
"412200 RIO AZUL";3
"412240 ROLANDIA";7
"412405 SANTA TEREZINHA DE ITAIPU";3
"412410 SANTO ANTONIO DA PLATINA";132
"412480 SAO JOAO";1
"412550 SAO JOSE DOS PINHAIS";31
"412560 SAO MATEUS DO SUL";1
"412570 SAO MIGUEL DO IGUACU";2
"412610 SAO TOME";1
"412660 SIQUEIRA CAMPOS";1
"412667 TAMARANA";1
"412740 TERRA ROXA";3
"412750 TIBAGI";4
"412770 TOLEDO";24
"412795 TUPASSI";1
"412810 UMUARAMA";48
"Total";974
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
