Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Paraná
Hiper c/ Diabete por Município
Período:Nov/2010
"Município";"Hiper_c/_Diabete"
"410050 ALTONIA";1
"410060 ALTO PARANA";3
"410130 ANTONIO OLINTO";19
"410140 APUCARANA";22
"410150 ARAPONGAS";5
"410160 ARAPOTI";1
"410305 BOA VISTA DA APARECIDA";4
"410400 CAMPINA GRANDE DO SUL";8
"410420 CAMPO LARGO";23
"410425 CAMPO MAGRO";2
"410465 CARAMBEI";1
"410480 CASCAVEL";21
"410490 CASTRO";25
"410550 CIANORTE";3
"410580 COLOMBO";49
"410590 COLORADO";37
"410630 CORBELIA";3
"410700 CURIUVA";3
"410725 DOURADINA";1
"410730 DOUTOR CAMARGO";10
"410830 FOZ DO IGUACU";24
"410845 FOZ DO JORDAO";1
"410895 GUAMIRANGA";11
"410940 GUARAPUAVA";29
"410960 GUARATUBA";3
"410980 IBIPORA";2
"411007 IMBAU";1
"411010 IMBITUVA";7
"411020 INACIO MARTINS";1
"411050 IPIRANGA";4
"411060 IPORA";1
"411125 ITAPERUCU";1
"411180 JACAREZINHO";15
"411210 JANDAIA DO SUL";2
"411310 KALORE";16
"411320 LAPA";60
"411400 MAMBORE";5
"411410 MANDAGUACU";1
"411460 MARECHAL CANDIDO RONDON";18
"411520 MARINGA";49
"411560 MATELANDIA";29
"411605 MISSAL";64
"411650 NOVA ALIANCA DO IVAI";1
"411760 PALMAS";2
"411770 PALMEIRA";3
"411800 PARAISO DO NORTE";1
"411840 PARANAVAI";3
"411860 PAULA FREITAS";1
"411885 PEROBAL";1
"411890 PEROLA";4
"411915 PINHAIS";10
"411940 PIRAI DO SUL";7
"411950 PIRAQUARA";4
"411980 PLANALTO";1
"412035 PRANCHITA";1
"412040 PRESIDENTE CASTELO BRANCO";13
"412060 PRUDENTOPOLIS";1
"412120 QUITANDINHA";3
"412180 RIBEIRAO CLARO";3
"412200 RIO AZUL";3
"412220 RIO BRANCO DO SUL";3
"412240 ROLANDIA";3
"412405 SANTA TEREZINHA DE ITAIPU";1
"412410 SANTO ANTONIO DA PLATINA";160
"412480 SAO JOAO";3
"412550 SAO JOSE DOS PINHAIS";57
"412570 SAO MIGUEL DO IGUACU";2
"412610 SAO TOME";2
"412660 SIQUEIRA CAMPOS";1
"412740 TERRA ROXA";8
"412750 TIBAGI";3
"412770 TOLEDO";17
"412810 UMUARAMA";24
"412870 VITORINO";1
"Total";932
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
