Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Paraná
Hiper c/ Diabete por Município
Período:Dez/2010
"Município";"Hiper_c/_Diabete"
"410060 ALTO PARANA";2
"410130 ANTONIO OLINTO";3
"410140 APUCARANA";8
"410150 ARAPONGAS";2
"410160 ARAPOTI";1
"410350 CALIFORNIA";2
"410380 CAMBIRA";1
"410400 CAMPINA GRANDE DO SUL";4
"410420 CAMPO LARGO";9
"410425 CAMPO MAGRO";2
"410465 CARAMBEI";1
"410480 CASCAVEL";17
"410490 CASTRO";10
"410550 CIANORTE";1
"410580 COLOMBO";25
"410590 COLORADO";3
"410700 CURIUVA";1
"410775 FIGUEIRA";1
"410810 FLORIDA";1
"410830 FOZ DO IGUACU";18
"410895 GUAMIRANGA";5
"410940 GUARAPUAVA";8
"410960 GUARATUBA";2
"410980 IBIPORA";18
"411010 IMBITUVA";11
"411060 IPORA";8
"411180 JACAREZINHO";6
"411210 JANDAIA DO SUL";3
"411320 LAPA";9
"411400 MAMBORE";3
"411420 MANDAGUARI";2
"411460 MARECHAL CANDIDO RONDON";16
"411470 MARIA HELENA";1
"411520 MARINGA";60
"411530 MARIOPOLIS";1
"411560 MATELANDIA";4
"411605 MISSAL";4
"411630 MUNHOZ DE MELO";1
"411690 NOVA ESPERANCA";1
"411770 PALMEIRA";7
"411840 PARANAVAI";5
"411870 PAULO FRONTIN";1
"411890 PEROLA";2
"411910 PIEN";1
"411915 PINHAIS";2
"411940 PIRAI DO SUL";6
"411950 PIRAQUARA";2
"412060 PRUDENTOPOLIS";1
"412080 QUATRO BARRAS";1
"412120 QUITANDINHA";1
"412180 RIBEIRAO CLARO";1
"412200 RIO AZUL";6
"412220 RIO BRANCO DO SUL";6
"412240 ROLANDIA";2
"412405 SANTA TEREZINHA DE ITAIPU";1
"412410 SANTO ANTONIO DA PLATINA";33
"412480 SAO JOAO";2
"412550 SAO JOSE DOS PINHAIS";52
"412670 TAMBOARA";4
"412700 TEIXEIRA SOARES";5
"412770 TOLEDO";15
"412810 UMUARAMA";15
"412870 VITORINO";1
"Total";447
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
