Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Paraná
Hiper c/ Diabete por Município
Período:Fev/2010
"Município";"Hiper_c/_Diabete"
"410030 AGUDOS DO SUL";16
"410050 ALTONIA";1
"410060 ALTO PARANA";1
"410070 ALTO PIQUIRI";1
"410140 APUCARANA";48
"410160 ARAPOTI";1
"410260 BARRACAO";6
"410305 BOA VISTA DA APARECIDA";2
"410400 CAMPINA GRANDE DO SUL";3
"410420 CAMPO LARGO";23
"410425 CAMPO MAGRO";3
"410480 CASCAVEL";6
"410490 CASTRO";13
"410540 CHOPINZINHO";1
"410550 CIANORTE";4
"410580 COLOMBO";42
"410590 COLORADO";3
"410620 CONTENDA";1
"410700 CURIUVA";1
"410725 DOURADINA";1
"410730 DOUTOR CAMARGO";15
"410760 FAXINAL";31
"410765 FAZENDA RIO GRANDE";2
"410770 FENIX";1
"410830 FOZ DO IGUACU";27
"410870 GRANDES RIOS";1
"410895 GUAMIRANGA";10
"410940 GUARAPUAVA";17
"410960 GUARATUBA";12
"410980 IBIPORA";6
"411010 IMBITUVA";3
"411020 INACIO MARTINS";3
"411050 IPIRANGA";1
"411060 IPORA";1
"411125 ITAPERUCU";1
"411200 JAGUARIAIVA";14
"411210 JANDAIA DO SUL";7
"411310 KALORE";2
"411320 LAPA";1
"411400 MAMBORE";8
"411410 MANDAGUACU";1
"411420 MANDAGUARI";7
"411460 MARECHAL CANDIDO RONDON";103
"411520 MARINGA";132
"411530 MARIOPOLIS";1
"411560 MATELANDIA";2
"411573 MATO RICO";1
"411620 MORRETES";2
"411640 NOSSA SENHORA DAS GRACAS";1
"411690 NOVA ESPERANCA";19
"411760 PALMAS";1
"411770 PALMEIRA";6
"411790 PALOTINA";1
"411840 PARANAVAI";10
"411860 PAULA FREITAS";1
"411890 PEROLA";4
"411915 PINHAIS";3
"411930 PINHAO";1
"411940 PIRAI DO SUL";9
"411980 PLANALTO";1
"411995 PONTAL DO PARANA";3
"412035 PRANCHITA";1
"412040 PRESIDENTE CASTELO BRANCO";3
"412060 PRUDENTOPOLIS";2
"412080 QUATRO BARRAS";1
"412120 QUITANDINHA";2
"412220 RIO BRANCO DO SUL";2
"412240 ROLANDIA";2
"412405 SANTA TEREZINHA DE ITAIPU";2
"412550 SAO JOSE DOS PINHAIS";42
"412560 SAO MATEUS DO SUL";2
"412570 SAO MIGUEL DO IGUACU";7
"412575 SAO PEDRO DO IGUACU";20
"412620 SAPOPEMA";6
"412660 SIQUEIRA CAMPOS";3
"412740 TERRA ROXA";1
"412770 TOLEDO";14
"412785 TRES BARRAS DO PARANA";6
"412810 UMUARAMA";101
"412820 UNIAO DA VITORIA";8
"412850 WENCESLAU BRAZ";1
"412853 VENTANIA";2
"Total";877
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
