Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Paraná
Hiper c/ Diabete por Município
Período:Mar/2010
"Município";"Hiper_c/_Diabete"
"410030 AGUDOS DO SUL";1
"410050 ALTONIA";1
"410060 ALTO PARANA";6
"410120 ANTONINA";2
"410140 APUCARANA";38
"410260 BARRACAO";3
"410305 BOA VISTA DA APARECIDA";1
"410330 BORRAZOPOLIS";1
"410400 CAMPINA GRANDE DO SUL";7
"410420 CAMPO LARGO";19
"410425 CAMPO MAGRO";4
"410480 CASCAVEL";24
"410490 CASTRO";6
"410540 CHOPINZINHO";1
"410550 CIANORTE";3
"410580 COLOMBO";65
"410590 COLORADO";14
"410725 DOURADINA";1
"410730 DOUTOR CAMARGO";7
"410752 ESPERANCA NOVA";1
"410760 FAXINAL";24
"410810 FLORIDA";1
"410830 FOZ DO IGUACU";38
"410895 GUAMIRANGA";21
"410940 GUARAPUAVA";28
"410960 GUARATUBA";19
"410980 IBIPORA";6
"410990 ICARAIMA";2
"411010 IMBITUVA";10
"411050 IPIRANGA";2
"411125 ITAPERUCU";1
"411180 JACAREZINHO";5
"411200 JAGUARIAIVA";17
"411210 JANDAIA DO SUL";6
"411310 KALORE";10
"411320 LAPA";3
"411400 MAMBORE";8
"411420 MANDAGUARI";14
"411460 MARECHAL CANDIDO RONDON";307
"411520 MARINGA";218
"411560 MATELANDIA";2
"411573 MATO RICO";1
"411585 MERCEDES";1
"411670 NOVA AURORA";1
"411690 NOVA ESPERANCA";18
"411760 PALMAS";2
"411770 PALMEIRA";2
"411790 PALOTINA";77
"411840 PARANAVAI";11
"411870 PAULO FRONTIN";1
"411890 PEROLA";1
"411910 PIEN";1
"411915 PINHAIS";3
"411930 PINHAO";2
"411940 PIRAI DO SUL";10
"411950 PIRAQUARA";1
"411980 PLANALTO";2
"411995 PONTAL DO PARANA";1
"412035 PRANCHITA";1
"412040 PRESIDENTE CASTELO BRANCO";1
"412060 PRUDENTOPOLIS";6
"412080 QUATRO BARRAS";2
"412090 QUEDAS DO IGUACU";7
"412120 QUITANDINHA";4
"412180 RIBEIRAO CLARO";2
"412200 RIO AZUL";1
"412240 ROLANDIA";10
"412405 SANTA TEREZINHA DE ITAIPU";2
"412535 SAO JORGE DO PATROCINIO";1
"412550 SAO JOSE DOS PINHAIS";28
"412560 SAO MATEUS DO SUL";31
"412570 SAO MIGUEL DO IGUACU";8
"412620 SAPOPEMA";9
"412660 SIQUEIRA CAMPOS";4
"412750 TIBAGI";1
"412770 TOLEDO";13
"412785 TRES BARRAS DO PARANA";5
"412810 UMUARAMA";40
"412820 UNIAO DA VITORIA";9
"412853 VENTANIA";1
"412870 VITORINO";1
"Total";1269
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
