Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Paraná
Hiper c/ Diabete por Município
Período:Abr/2010
"Município";"Hiper_c/_Diabete"
"410060 ALTO PARANA";4
"410120 ANTONINA";12
"410140 APUCARANA";24
"410150 ARAPONGAS";1
"410200 ASSIS CHATEAUBRIAND";5
"410305 BOA VISTA DA APARECIDA";1
"410347 CAFEZAL DO SUL";1
"410350 CALIFORNIA";1
"410400 CAMPINA GRANDE DO SUL";7
"410420 CAMPO LARGO";14
"410425 CAMPO MAGRO";2
"410465 CARAMBEI";4
"410480 CASCAVEL";13
"410490 CASTRO";4
"410550 CIANORTE";5
"410580 COLOMBO";68
"410590 COLORADO";17
"410620 CONTENDA";1
"410700 CURIUVA";3
"410710 DIAMANTE DO NORTE";53
"410730 DOUTOR CAMARGO";4
"410765 FAZENDA RIO GRANDE";15
"410790 FLORESTA";1
"410810 FLORIDA";2
"410830 FOZ DO IGUACU";32
"410845 FOZ DO JORDAO";2
"410895 GUAMIRANGA";15
"410940 GUARAPUAVA";9
"410960 GUARATUBA";18
"410980 IBIPORA";26
"411007 IMBAU";9
"411010 IMBITUVA";4
"411050 IPIRANGA";1
"411060 IPORA";125
"411125 ITAPERUCU";3
"411180 JACAREZINHO";16
"411200 JAGUARIAIVA";3
"411210 JANDAIA DO SUL";10
"411310 KALORE";68
"411320 LAPA";1
"411370 LONDRINA";1
"411400 MAMBORE";15
"411460 MARECHAL CANDIDO RONDON";84
"411520 MARINGA";114
"411530 MARIOPOLIS";2
"411560 MATELANDIA";2
"411575 MAUA DA SERRA";1
"411590 MIRADOR";2
"411605 MISSAL";4
"411640 NOSSA SENHORA DAS GRACAS";2
"411650 NOVA ALIANCA DO IVAI";1
"411670 NOVA AURORA";2
"411690 NOVA ESPERANCA";20
"411760 PALMAS";3
"411770 PALMEIRA";1
"411790 PALOTINA";8
"411840 PARANAVAI";11
"411860 PAULA FREITAS";2
"411890 PEROLA";1
"411915 PINHAIS";3
"411925 PINHAL DE SAO BENTO";1
"411930 PINHAO";1
"411940 PIRAI DO SUL";8
"411950 PIRAQUARA";4
"411980 PLANALTO";1
"411995 PONTAL DO PARANA";3
"412040 PRESIDENTE CASTELO BRANCO";2
"412060 PRUDENTOPOLIS";4
"412080 QUATRO BARRAS";4
"412090 QUEDAS DO IGUACU";7
"412120 QUITANDINHA";1
"412200 RIO AZUL";20
"412220 RIO BRANCO DO SUL";4
"412240 ROLANDIA";4
"412405 SANTA TEREZINHA DE ITAIPU";1
"412480 SAO JOAO";3
"412535 SAO JORGE DO PATROCINIO";1
"412550 SAO JOSE DOS PINHAIS";19
"412560 SAO MATEUS DO SUL";144
"412570 SAO MIGUEL DO IGUACU";7
"412620 SAPOPEMA";1
"412660 SIQUEIRA CAMPOS";5
"412670 TAMBOARA";7
"412770 TOLEDO";18
"412785 TRES BARRAS DO PARANA";16
"412810 UMUARAMA";32
"412820 UNIAO DA VITORIA";7
"412850 WENCESLAU BRAZ";9
"Total";1217
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
