Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Paraná
Hiper c/ Diabete por Município
Período:Mai/2010
"Município";"Hiper_c/_Diabete"
"410050 ALTONIA";1
"410060 ALTO PARANA";6
"410120 ANTONINA";4
"410140 APUCARANA";25
"410210 ASTORGA";21
"410330 BORRAZOPOLIS";4
"410347 CAFEZAL DO SUL";2
"410400 CAMPINA GRANDE DO SUL";5
"410420 CAMPO LARGO";15
"410425 CAMPO MAGRO";3
"410480 CASCAVEL";12
"410490 CASTRO";2
"410550 CIANORTE";3
"410580 COLOMBO";42
"410590 COLORADO";4
"410700 CURIUVA";5
"410765 FAZENDA RIO GRANDE";6
"410775 FIGUEIRA";1
"410790 FLORESTA";1
"410810 FLORIDA";1
"410830 FOZ DO IGUACU";41
"410895 GUAMIRANGA";21
"410940 GUARAPUAVA";25
"410960 GUARATUBA";15
"410980 IBIPORA";15
"411007 IMBAU";1
"411010 IMBITUVA";2
"411020 INACIO MARTINS";3
"411050 IPIRANGA";1
"411060 IPORA";18
"411180 JACAREZINHO";20
"411210 JANDAIA DO SUL";8
"411310 KALORE";4
"411400 MAMBORE";9
"411410 MANDAGUACU";1
"411460 MARECHAL CANDIDO RONDON";24
"411470 MARIA HELENA";2
"411490 MARILANDIA DO SUL";1
"411520 MARINGA";119
"411560 MATELANDIA";7
"411585 MERCEDES";1
"411590 MIRADOR";1
"411605 MISSAL";9
"411650 NOVA ALIANCA DO IVAI";7
"411670 NOVA AURORA";1
"411690 NOVA ESPERANCA";15
"411760 PALMAS";15
"411770 PALMEIRA";10
"411790 PALOTINA";4
"411840 PARANAVAI";113
"411860 PAULA FREITAS";2
"411870 PAULO FRONTIN";1
"411915 PINHAIS";19
"411925 PINHAL DE SAO BENTO";1
"411930 PINHAO";2
"411940 PIRAI DO SUL";14
"411950 PIRAQUARA";26
"411980 PLANALTO";3
"412040 PRESIDENTE CASTELO BRANCO";2
"412060 PRUDENTOPOLIS";4
"412090 QUEDAS DO IGUACU";1
"412120 QUITANDINHA";6
"412200 RIO AZUL";87
"412220 RIO BRANCO DO SUL";2
"412240 ROLANDIA";3
"412405 SANTA TEREZINHA DE ITAIPU";3
"412550 SAO JOSE DOS PINHAIS";29
"412560 SAO MATEUS DO SUL";61
"412570 SAO MIGUEL DO IGUACU";1
"412575 SAO PEDRO DO IGUACU";7
"412620 SAPOPEMA";1
"412660 SIQUEIRA CAMPOS";3
"412770 TOLEDO";31
"412795 TUPASSI";1
"412810 UMUARAMA";47
"412820 UNIAO DA VITORIA";4
"412850 WENCESLAU BRAZ";2
"Total";1039
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
