Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Paraná
Hiper c/ Diabete por Município
Período:Jun/2010
"Município";"Hiper_c/_Diabete"
"410050 ALTONIA";1
"410060 ALTO PARANA";5
"410140 APUCARANA";36
"410150 ARAPONGAS";1
"410210 ASTORGA";16
"410290 BITURUNA";2
"410310 BOCAIUVA DO SUL";2
"410350 CALIFORNIA";1
"410400 CAMPINA GRANDE DO SUL";36
"410420 CAMPO LARGO";20
"410425 CAMPO MAGRO";2
"410465 CARAMBEI";2
"410480 CASCAVEL";8
"410490 CASTRO";2
"410550 CIANORTE";5
"410580 COLOMBO";46
"410590 COLORADO";1
"410700 CURIUVA";2
"410710 DIAMANTE DO NORTE";1
"410725 DOURADINA";1
"410730 DOUTOR CAMARGO";1
"410752 ESPERANCA NOVA";2
"410765 FAZENDA RIO GRANDE";2
"410770 FENIX";1
"410775 FIGUEIRA";1
"410790 FLORESTA";5
"410830 FOZ DO IGUACU";32
"410870 GRANDES RIOS";1
"410895 GUAMIRANGA";21
"410940 GUARAPUAVA";21
"410960 GUARATUBA";19
"410980 IBIPORA";69
"410990 ICARAIMA";1
"411007 IMBAU";6
"411010 IMBITUVA";4
"411050 IPIRANGA";1
"411060 IPORA";11
"411125 ITAPERUCU";1
"411140 IVAI";2
"411180 JACAREZINHO";15
"411210 JANDAIA DO SUL";3
"411310 KALORE";20
"411400 MAMBORE";5
"411410 MANDAGUACU";1
"411460 MARECHAL CANDIDO RONDON";24
"411490 MARILANDIA DO SUL";1
"411520 MARINGA";129
"411560 MATELANDIA";14
"411585 MERCEDES";1
"411590 MIRADOR";4
"411605 MISSAL";44
"411630 MUNHOZ DE MELO";7
"411690 NOVA ESPERANCA";11
"411729 NOVO ITACOLOMI";4
"411760 PALMAS";8
"411770 PALMEIRA";8
"411800 PARAISO DO NORTE";3
"411840 PARANAVAI";19
"411860 PAULA FREITAS";2
"411890 PEROLA";1
"411915 PINHAIS";5
"411930 PINHAO";2
"411940 PIRAI DO SUL";7
"411950 PIRAQUARA";41
"411980 PLANALTO";1
"412035 PRANCHITA";1
"412040 PRESIDENTE CASTELO BRANCO";5
"412080 QUATRO BARRAS";3
"412120 QUITANDINHA";7
"412200 RIO AZUL";18
"412240 ROLANDIA";1
"412405 SANTA TEREZINHA DE ITAIPU";5
"412410 SANTO ANTONIO DA PLATINA";1
"412480 SAO JOAO";2
"412550 SAO JOSE DOS PINHAIS";26
"412560 SAO MATEUS DO SUL";8
"412570 SAO MIGUEL DO IGUACU";2
"412575 SAO PEDRO DO IGUACU";8
"412660 SIQUEIRA CAMPOS";3
"412770 TOLEDO";33
"412795 TUPASSI";1
"412810 UMUARAMA";21
"412820 UNIAO DA VITORIA";5
"412850 WENCESLAU BRAZ";1
"Total";922
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
