Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Paraná
Hiper c/ Diabete por Município
Período:Jul/2010
"Município";"Hiper_c/_Diabete"
"410050 ALTONIA";1
"410060 ALTO PARANA";5
"410130 ANTONIO OLINTO";10
"410140 APUCARANA";17
"410305 BOA VISTA DA APARECIDA";1
"410310 BOCAIUVA DO SUL";5
"410347 CAFEZAL DO SUL";1
"410350 CALIFORNIA";4
"410400 CAMPINA GRANDE DO SUL";15
"410420 CAMPO LARGO";17
"410425 CAMPO MAGRO";3
"410465 CARAMBEI";2
"410480 CASCAVEL";32
"410490 CASTRO";19
"410550 CIANORTE";5
"410580 COLOMBO";34
"410590 COLORADO";2
"410700 CURIUVA";2
"410730 DOUTOR CAMARGO";4
"410790 FLORESTA";2
"410830 FOZ DO IGUACU";12
"410845 FOZ DO JORDAO";10
"410870 GRANDES RIOS";1
"410895 GUAMIRANGA";10
"410940 GUARAPUAVA";37
"410960 GUARATUBA";14
"410980 IBIPORA";41
"411007 IMBAU";3
"411010 IMBITUVA";12
"411050 IPIRANGA";4
"411060 IPORA";9
"411125 ITAPERUCU";16
"411180 JACAREZINHO";24
"411310 KALORE";6
"411400 MAMBORE";9
"411410 MANDAGUACU";3
"411420 MANDAGUARI";1
"411460 MARECHAL CANDIDO RONDON";6
"411470 MARIA HELENA";1
"411520 MARINGA";98
"411530 MARIOPOLIS";1
"411560 MATELANDIA";11
"411590 MIRADOR";4
"411605 MISSAL";10
"411630 MUNHOZ DE MELO";1
"411650 NOVA ALIANCA DO IVAI";1
"411690 NOVA ESPERANCA";10
"411760 PALMAS";13
"411770 PALMEIRA";5
"411840 PARANAVAI";57
"411860 PAULA FREITAS";1
"411885 PEROBAL";3
"411915 PINHAIS";13
"411925 PINHAL DE SAO BENTO";1
"411930 PINHAO";4
"411940 PIRAI DO SUL";2
"411950 PIRAQUARA";44
"411980 PLANALTO";1
"412035 PRANCHITA";3
"412040 PRESIDENTE CASTELO BRANCO";6
"412060 PRUDENTOPOLIS";6
"412080 QUATRO BARRAS";9
"412120 QUITANDINHA";10
"412200 RIO AZUL";6
"412220 RIO BRANCO DO SUL";5
"412240 ROLANDIA";5
"412405 SANTA TEREZINHA DE ITAIPU";2
"412550 SAO JOSE DOS PINHAIS";21
"412560 SAO MATEUS DO SUL";4
"412575 SAO PEDRO DO IGUACU";2
"412620 SAPOPEMA";1
"412660 SIQUEIRA CAMPOS";2
"412670 TAMBOARA";2
"412740 TERRA ROXA";5
"412770 TOLEDO";33
"412795 TUPASSI";2
"412810 UMUARAMA";15
"412820 UNIAO DA VITORIA";5
"412850 WENCESLAU BRAZ";1
"412870 VITORINO";1
"Total";826
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
