Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Paraná
Hiper c/ Diabete por Município
Período:Ago/2010
"Município";"Hiper_c/_Diabete"
"410060 ALTO PARANA";7
"410120 ANTONINA";1
"410130 ANTONIO OLINTO";5
"410140 APUCARANA";23
"410150 ARAPONGAS";8
"410350 CALIFORNIA";4
"410400 CAMPINA GRANDE DO SUL";18
"410420 CAMPO LARGO";23
"410425 CAMPO MAGRO";6
"410465 CARAMBEI";3
"410480 CASCAVEL";31
"410490 CASTRO";22
"410550 CIANORTE";5
"410580 COLOMBO";70
"410590 COLORADO";3
"410630 CORBELIA";1
"410730 DOUTOR CAMARGO";2
"410775 FIGUEIRA";1
"410790 FLORESTA";2
"410830 FOZ DO IGUACU";25
"410845 FOZ DO JORDAO";3
"410895 GUAMIRANGA";7
"410940 GUARAPUAVA";25
"410960 GUARATUBA";28
"410980 IBIPORA";13
"411007 IMBAU";1
"411010 IMBITUVA";14
"411050 IPIRANGA";4
"411060 IPORA";7
"411125 ITAPERUCU";2
"411180 JACAREZINHO";15
"411210 JANDAIA DO SUL";3
"411230 JAPIRA";1
"411310 KALORE";20
"411320 LAPA";3
"411370 LONDRINA";7
"411400 MAMBORE";6
"411410 MANDAGUACU";2
"411420 MANDAGUARI";2
"411460 MARECHAL CANDIDO RONDON";13
"411470 MARIA HELENA";1
"411490 MARILANDIA DO SUL";2
"411520 MARINGA";60
"411560 MATELANDIA";19
"411573 MATO RICO";1
"411590 MIRADOR";1
"411605 MISSAL";50
"411650 NOVA ALIANCA DO IVAI";1
"411670 NOVA AURORA";7
"411690 NOVA ESPERANCA";4
"411760 PALMAS";15
"411770 PALMEIRA";2
"411790 PALOTINA";1
"411800 PARAISO DO NORTE";3
"411840 PARANAVAI";29
"411860 PAULA FREITAS";2
"411885 PEROBAL";1
"411890 PEROLA";4
"411910 PIEN";31
"411915 PINHAIS";10
"411930 PINHAO";1
"411940 PIRAI DO SUL";10
"411950 PIRAQUARA";38
"411980 PLANALTO";2
"412035 PRANCHITA";1
"412040 PRESIDENTE CASTELO BRANCO";1
"412060 PRUDENTOPOLIS";2
"412080 QUATRO BARRAS";3
"412120 QUITANDINHA";6
"412200 RIO AZUL";2
"412220 RIO BRANCO DO SUL";1
"412240 ROLANDIA";5
"412405 SANTA TEREZINHA DE ITAIPU";1
"412480 SAO JOAO";2
"412550 SAO JOSE DOS PINHAIS";10
"412560 SAO MATEUS DO SUL";1
"412570 SAO MIGUEL DO IGUACU";2
"412660 SIQUEIRA CAMPOS";2
"412667 TAMARANA";1
"412740 TERRA ROXA";4
"412750 TIBAGI";1
"412770 TOLEDO";30
"412810 UMUARAMA";21
"412820 UNIAO DA VITORIA";3
"412850 WENCESLAU BRAZ";1
"Total";831
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
