Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Paraná
Hiper c/ Diabete por Município
Período:Set/2010
"Município";"Hiper_c/_Diabete"
"410105 ANAHY";4
"410120 ANTONINA";1
"410130 ANTONIO OLINTO";2
"410140 APUCARANA";12
"410150 ARAPONGAS";3
"410160 ARAPOTI";2
"410305 BOA VISTA DA APARECIDA";1
"410350 CALIFORNIA";1
"410400 CAMPINA GRANDE DO SUL";7
"410420 CAMPO LARGO";30
"410425 CAMPO MAGRO";5
"410465 CARAMBEI";4
"410480 CASCAVEL";36
"410490 CASTRO";59
"410550 CIANORTE";2
"410580 COLOMBO";47
"410590 COLORADO";2
"410630 CORBELIA";1
"410700 CURIUVA";2
"410725 DOURADINA";2
"410730 DOUTOR CAMARGO";14
"410770 FENIX";1
"410790 FLORESTA";1
"410830 FOZ DO IGUACU";14
"410895 GUAMIRANGA";7
"410940 GUARAPUAVA";25
"410960 GUARATUBA";9
"410980 IBIPORA";3
"410990 ICARAIMA";1
"411007 IMBAU";1
"411010 IMBITUVA";5
"411050 IPIRANGA";4
"411060 IPORA";18
"411125 ITAPERUCU";3
"411180 JACAREZINHO";15
"411210 JANDAIA DO SUL";2
"411320 LAPA";26
"411400 MAMBORE";11
"411410 MANDAGUACU";1
"411460 MARECHAL CANDIDO RONDON";7
"411470 MARIA HELENA";5
"411490 MARILANDIA DO SUL";8
"411520 MARINGA";55
"411560 MATELANDIA";23
"411573 MATO RICO";1
"411605 MISSAL";3
"411630 MUNHOZ DE MELO";1
"411670 NOVA AURORA";1
"411690 NOVA ESPERANCA";2
"411760 PALMAS";9
"411770 PALMEIRA";5
"411790 PALOTINA";22
"411800 PARAISO DO NORTE";2
"411840 PARANAVAI";16
"411885 PEROBAL";1
"411910 PIEN";6
"411915 PINHAIS";5
"411930 PINHAO";1
"411940 PIRAI DO SUL";4
"411950 PIRAQUARA";22
"412030 PORTO VITORIA";1
"412035 PRANCHITA";1
"412040 PRESIDENTE CASTELO BRANCO";28
"412060 PRUDENTOPOLIS";1
"412080 QUATRO BARRAS";3
"412120 QUITANDINHA";3
"412200 RIO AZUL";3
"412220 RIO BRANCO DO SUL";4
"412240 ROLANDIA";3
"412405 SANTA TEREZINHA DE ITAIPU";3
"412480 SAO JOAO";2
"412550 SAO JOSE DOS PINHAIS";42
"412570 SAO MIGUEL DO IGUACU";3
"412660 SIQUEIRA CAMPOS";2
"412667 TAMARANA";1
"412740 TERRA ROXA";1
"412750 TIBAGI";1
"412770 TOLEDO";12
"412810 UMUARAMA";20
"412820 UNIAO DA VITORIA";1
"412870 VITORINO";4
"Total";722
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
