Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Pernambuco
Hiper c/ Diabete por Município
Período:Jan/2010
"Município";"Hiper_c/_Diabete"
"260005 ABREU E LIMA";21
"260010 AFOGADOS DA INGAZEIRA";3
"260030 AGRESTINA";3
"260100 ANGELIM";7
"260105 ARACOIABA";1
"260110 ARARIPINA";11
"260160 BELEM DE SAO FRANCISCO";2
"260170 BELO JARDIM";10
"260200 BODOCO";7
"260210 BOM CONSELHO";5
"260230 BONITO";1
"260290 CABO DE SANTO AGOSTINHO";4
"260320 CAETES";1
"260330 CALCADO";6
"260340 CALUMBI";2
"260370 CANHOTINHO";1
"260410 CARUARU";4
"260415 CASINHAS";2
"260490 CUMARU";2
"260530 EXU";9
"260540 FEIRA NOVA";2
"260580 FREI MIGUELINHO";8
"260600 GARANHUNS";4
"260630 GRANITO";2
"260640 GRAVATA";13
"260660 IBIMIRIM";1
"260710 INGAZEIRA";1
"260720 IPOJUCA";4
"260760 ILHA DE ITAMARACA";1
"260770 ITAPETIM";1
"260775 ITAPISSUMA";6
"260790 JABOATAO DOS GUARARAPES";59
"260805 JATOBA";2
"260820 JOAQUIM NABUCO";1
"260825 JUCATI";3
"260845 LAGOA DO CARRO";4
"260880 LAJEDO";4
"260890 LIMOEIRO";5
"260940 MORENO";4
"260950 NAZARE DA MATA";14
"260960 OLINDA";3
"260980 OROCO";8
"261000 PALMARES";1
"261020 PANELAS";3
"261060 PAUDALHO";1
"261080 PEDRA";1
"261090 PESQUEIRA";90
"261100 PETROLANDIA";8
"261110 PETROLINA";30
"261150 QUIPAPA";5
"261153 QUIXABA";1
"261170 RIACHO DAS ALMAS";5
"261180 RIBEIRAO";5
"261220 SALGUEIRO";110
"261240 SANHARO";8
"261245 SANTA CRUZ";3
"261247 SANTA CRUZ DA BAIXA VERDE";11
"261250 SANTA CRUZ DO CAPIBARIBE";3
"261260 SANTA MARIA DA BOA VISTA";1
"261280 SANTA TEREZINHA";1
"261300 SAO BENTO DO UNA";1
"261310 SAO CAITANO";29
"261330 SAO JOAQUIM DO MONTE";1
"261370 SAO LOURENCO DA MATA";39
"261440 SOLIDAO";2
"261450 SURUBIM";5
"261500 TAQUARITINGA DO NORTE";8
"261510 TEREZINHA";4
"261530 TIMBAUBA";70
"261550 TRACUNHAEM";6
"261610 VERDEJANTE";4
"261618 VERTENTE DO LERIO";2
"261640 VITORIA DE SANTO ANTAO";3
"Total";713
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
