Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Pernambuco
Hiper c/ Diabete por Município
Período:Out/2010
"Município";"Hiper_c/_Diabete"
"260005 ABREU E LIMA";14
"260010 AFOGADOS DA INGAZEIRA";7
"260030 AGRESTINA";7
"260050 AGUAS BELAS";3
"260060 ALAGOINHA";2
"260100 ANGELIM";1
"260105 ARACOIABA";4
"260110 ARARIPINA";2
"260120 ARCOVERDE";2
"260170 BELO JARDIM";22
"260200 BODOCO";1
"260210 BOM CONSELHO";2
"260230 BONITO";17
"260280 BUIQUE";2
"260300 CABROBO";11
"260320 CAETES";1
"260330 CALCADO";1
"260370 CANHOTINHO";2
"260380 CAPOEIRAS";5
"260390 CARNAIBA";22
"260410 CARUARU";2
"260415 CASINHAS";2
"260460 CONDADO";2
"260470 CORRENTES";8
"260490 CUMARU";10
"260510 CUSTODIA";1
"260530 EXU";3
"260540 FEIRA NOVA";6
"260600 GARANHUNS";15
"260640 GRAVATA";35
"260660 IBIMIRIM";4
"260720 IPOJUCA";1
"260775 ITAPISSUMA";1
"260790 JABOATAO DOS GUARARAPES";65
"260805 JATOBA";3
"260810 JOAO ALFREDO";6
"260820 JOAQUIM NABUCO";6
"260825 JUCATI";2
"260845 LAGOA DO CARRO";2
"260880 LAJEDO";2
"260890 LIMOEIRO";7
"260950 NAZARE DA MATA";23
"260960 OLINDA";17
"260990 OURICURI";1
"261000 PALMARES";2
"261020 PANELAS";3
"261060 PAUDALHO";2
"261090 PESQUEIRA";30
"261100 PETROLANDIA";13
"261110 PETROLINA";41
"261130 POMBOS";2
"261140 PRIMAVERA";28
"261150 QUIPAPA";5
"261170 RIACHO DAS ALMAS";20
"261180 RIBEIRAO";2
"261220 SALGUEIRO";19
"261240 SANHARO";7
"261250 SANTA CRUZ DO CAPIBARIBE";3
"261300 SAO BENTO DO UNA";7
"261310 SAO CAITANO";1
"261330 SAO JOAQUIM DO MONTE";1
"261360 SAO JOSE DO EGITO";12
"261370 SAO LOURENCO DA MATA";6
"261450 SURUBIM";12
"261500 TAQUARITINGA DO NORTE";2
"261530 TIMBAUBA";3
"261560 TRINDADE";2
"261610 VERDEJANTE";1
"261630 VICENCIA";1
"261640 VITORIA DE SANTO ANTAO";3
"Total";580
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
