Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Pernambuco
Hiper c/ Diabete por Município
Período:Nov/2010
"Município";"Hiper_c/_Diabete"
"260005 ABREU E LIMA";13
"260010 AFOGADOS DA INGAZEIRA";4
"260030 AGRESTINA";6
"260050 AGUAS BELAS";1
"260105 ARACOIABA";9
"260120 ARCOVERDE";6
"260170 BELO JARDIM";4
"260200 BODOCO";1
"260210 BOM CONSELHO";1
"260230 BONITO";70
"260250 BREJINHO";1
"260290 CABO DE SANTO AGOSTINHO";23
"260330 CALCADO";3
"260370 CANHOTINHO";1
"260380 CAPOEIRAS";4
"260390 CARNAIBA";14
"260460 CONDADO";2
"260470 CORRENTES";21
"260490 CUMARU";10
"260530 EXU";2
"260540 FEIRA NOVA";5
"260600 GARANHUNS";21
"260640 GRAVATA";13
"260650 IATI";1
"260660 IBIMIRIM";5
"260690 IGUARACY";3
"260720 IPOJUCA";2
"260770 ITAPETIM";2
"260780 ITAQUITINGA";3
"260790 JABOATAO DOS GUARARAPES";114
"260805 JATOBA";7
"260820 JOAQUIM NABUCO";1
"260825 JUCATI";9
"260845 LAGOA DO CARRO";1
"260880 LAJEDO";7
"260890 LIMOEIRO";5
"260940 MORENO";41
"260950 NAZARE DA MATA";65
"260960 OLINDA";7
"260990 OURICURI";2
"261020 PANELAS";5
"261050 PASSIRA";1
"261060 PAUDALHO";13
"261090 PESQUEIRA";14
"261100 PETROLANDIA";11
"261110 PETROLINA";26
"261130 POMBOS";19
"261140 PRIMAVERA";17
"261150 QUIPAPA";25
"261153 QUIXABA";4
"261170 RIACHO DAS ALMAS";7
"261180 RIBEIRAO";3
"261210 SALGADINHO";1
"261240 SANHARO";8
"261245 SANTA CRUZ";2
"261247 SANTA CRUZ DA BAIXA VERDE";1
"261300 SAO BENTO DO UNA";14
"261360 SAO JOSE DO EGITO";3
"261370 SAO LOURENCO DA MATA";2
"261400 SERRITA";2
"261450 SURUBIM";12
"261530 TIMBAUBA";2
"261560 TRINDADE";1
"261610 VERDEJANTE";2
"261630 VICENCIA";1
"Total";706
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
