Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Pernambuco
Hiper c/ Diabete por Município
Período:Dez/2010
"Município";"Hiper_c/_Diabete"
"260005 ABREU E LIMA";25
"260030 AGRESTINA";1
"260050 AGUAS BELAS";45
"260105 ARACOIABA";61
"260110 ARARIPINA";2
"260200 BODOCO";1
"260230 BONITO";25
"260240 BREJAO";3
"260250 BREJINHO";1
"260290 CABO DE SANTO AGOSTINHO";6
"260390 CARNAIBA";5
"260410 CARUARU";2
"260490 CUMARU";2
"260530 EXU";2
"260540 FEIRA NOVA";3
"260600 GARANHUNS";24
"260640 GRAVATA";25
"260660 IBIMIRIM";1
"260720 IPOJUCA";1
"260780 ITAQUITINGA";1
"260790 JABOATAO DOS GUARARAPES";136
"260805 JATOBA";1
"260820 JOAQUIM NABUCO";2
"260825 JUCATI";4
"260845 LAGOA DO CARRO";1
"260875 LAGOA GRANDE";1
"260880 LAJEDO";1
"260890 LIMOEIRO";4
"260940 MORENO";13
"260950 NAZARE DA MATA";19
"260960 OLINDA";8
"261000 PALMARES";1
"261020 PANELAS";16
"261060 PAUDALHO";1
"261100 PETROLANDIA";30
"261110 PETROLINA";13
"261130 POMBOS";1
"261150 QUIPAPA";24
"261153 QUIXABA";1
"261170 RIACHO DAS ALMAS";5
"261240 SANHARO";24
"261300 SAO BENTO DO UNA";33
"261360 SAO JOSE DO EGITO";6
"261450 SURUBIM";2
"261530 TIMBAUBA";4
"261550 TRACUNHAEM";3
"261560 TRINDADE";1
"261610 VERDEJANTE";1
"261630 VICENCIA";7
"Total";599
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
