Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Pernambuco
Hiper c/ Diabete por Município
Período:Fev/2010
"Município";"Hiper_c/_Diabete"
"260005 ABREU E LIMA";19
"260010 AFOGADOS DA INGAZEIRA";4
"260030 AGRESTINA";2
"260050 AGUAS BELAS";8
"260110 ARARIPINA";3
"260120 ARCOVERDE";1
"260160 BELEM DE SAO FRANCISCO";5
"260170 BELO JARDIM";5
"260200 BODOCO";11
"260210 BOM CONSELHO";1
"260230 BONITO";2
"260250 BREJINHO";4
"260280 BUIQUE";1
"260290 CABO DE SANTO AGOSTINHO";1
"260310 CACHOEIRINHA";1
"260330 CALCADO";1
"260390 CARNAIBA";2
"260410 CARUARU";2
"260415 CASINHAS";1
"260490 CUMARU";9
"260510 CUSTODIA";3
"260530 EXU";11
"260540 FEIRA NOVA";7
"260580 FREI MIGUELINHO";9
"260600 GARANHUNS";21
"260630 GRANITO";1
"260640 GRAVATA";29
"260660 IBIMIRIM";2
"260700 INAJA";1
"260710 INGAZEIRA";2
"260770 ITAPETIM";15
"260775 ITAPISSUMA";2
"260780 ITAQUITINGA";48
"260790 JABOATAO DOS GUARARAPES";35
"260805 JATOBA";10
"260810 JOAO ALFREDO";3
"260840 JUREMA";5
"260880 LAJEDO";7
"260890 LIMOEIRO";2
"260900 MACAPARANA";1
"260940 MORENO";2
"260950 NAZARE DA MATA";3
"260960 OLINDA";4
"260990 OURICURI";1
"261000 PALMARES";5
"261020 PANELAS";5
"261060 PAUDALHO";1
"261080 PEDRA";6
"261090 PESQUEIRA";45
"261100 PETROLANDIA";7
"261110 PETROLINA";27
"261120 POCAO";1
"261130 POMBOS";1
"261150 QUIPAPA";14
"261170 RIACHO DAS ALMAS";4
"261180 RIBEIRAO";4
"261240 SANHARO";3
"261245 SANTA CRUZ";5
"261247 SANTA CRUZ DA BAIXA VERDE";16
"261250 SANTA CRUZ DO CAPIBARIBE";7
"261260 SANTA MARIA DA BOA VISTA";3
"261300 SAO BENTO DO UNA";1
"261310 SAO CAITANO";15
"261320 SAO JOAO";2
"261360 SAO JOSE DO EGITO";9
"261370 SAO LOURENCO DA MATA";21
"261450 SURUBIM";8
"261500 TAQUARITINGA DO NORTE";3
"261530 TIMBAUBA";72
"261550 TRACUNHAEM";4
"261560 TRINDADE";2
"261590 TUPARETAMA";1
"261610 VERDEJANTE";39
"261618 VERTENTE DO LERIO";3
"261640 VITORIA DE SANTO ANTAO";11
"Total";652
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
