Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Pernambuco
Hiper c/ Diabete por Município
Período:Mar/2010
"Município";"Hiper_c/_Diabete"
"260005 ABREU E LIMA";12
"260010 AFOGADOS DA INGAZEIRA";10
"260030 AGRESTINA";7
"260050 AGUAS BELAS";1
"260100 ANGELIM";5
"260110 ARARIPINA";9
"260120 ARCOVERDE";3
"260150 BELEM DE MARIA";1
"260160 BELEM DE SAO FRANCISCO";1
"260170 BELO JARDIM";5
"260200 BODOCO";4
"260210 BOM CONSELHO";9
"260280 BUIQUE";3
"260290 CABO DE SANTO AGOSTINHO";32
"260300 CABROBO";4
"260310 CACHOEIRINHA";1
"260330 CALCADO";6
"260340 CALUMBI";4
"260370 CANHOTINHO";2
"260390 CARNAIBA";12
"260400 CARPINA";1
"260410 CARUARU";9
"260440 CHA DE ALEGRIA";3
"260490 CUMARU";7
"260510 CUSTODIA";3
"260530 EXU";13
"260540 FEIRA NOVA";4
"260580 FREI MIGUELINHO";21
"260600 GARANHUNS";29
"260640 GRAVATA";17
"260660 IBIMIRIM";7
"260720 IPOJUCA";4
"260770 ITAPETIM";6
"260775 ITAPISSUMA";3
"260780 ITAQUITINGA";106
"260790 JABOATAO DOS GUARARAPES";119
"260805 JATOBA";3
"260810 JOAO ALFREDO";1
"260825 JUCATI";1
"260840 JUREMA";2
"260860 LAGOA DO OURO";1
"260870 LAGOA DOS GATOS";16
"260875 LAGOA GRANDE";2
"260880 LAJEDO";8
"260890 LIMOEIRO";5
"260900 MACAPARANA";2
"260950 NAZARE DA MATA";10
"260960 OLINDA";6
"260990 OURICURI";1
"261000 PALMARES";4
"261020 PANELAS";10
"261080 PEDRA";3
"261090 PESQUEIRA";29
"261100 PETROLANDIA";11
"261110 PETROLINA";29
"261120 POCAO";7
"261130 POMBOS";4
"261140 PRIMAVERA";3
"261150 QUIPAPA";28
"261153 QUIXABA";15
"261170 RIACHO DAS ALMAS";51
"261180 RIBEIRAO";7
"261240 SANHARO";10
"261245 SANTA CRUZ";3
"261247 SANTA CRUZ DA BAIXA VERDE";8
"261250 SANTA CRUZ DO CAPIBARIBE";22
"261260 SANTA MARIA DA BOA VISTA";7
"261280 SANTA TEREZINHA";5
"261300 SAO BENTO DO UNA";3
"261310 SAO CAITANO";28
"261320 SAO JOAO";2
"261330 SAO JOAQUIM DO MONTE";1
"261360 SAO JOSE DO EGITO";1
"261370 SAO LOURENCO DA MATA";20
"261440 SOLIDAO";2
"261450 SURUBIM";9
"261500 TAQUARITINGA DO NORTE";7
"261510 TEREZINHA";1
"261520 TERRA NOVA";25
"261530 TIMBAUBA";5
"261550 TRACUNHAEM";1
"261590 TUPARETAMA";14
"261610 VERDEJANTE";38
"261618 VERTENTE DO LERIO";7
"261640 VITORIA DE SANTO ANTAO";5
"Total";966
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
