Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Pernambuco
Hiper c/ Diabete por Município
Período:Abr/2010
"Município";"Hiper_c/_Diabete"
"260005 ABREU E LIMA";12
"260010 AFOGADOS DA INGAZEIRA";12
"260030 AGRESTINA";2
"260100 ANGELIM";4
"260110 ARARIPINA";8
"260120 ARCOVERDE";8
"260160 BELEM DE SAO FRANCISCO";1
"260170 BELO JARDIM";3
"260210 BOM CONSELHO";4
"260250 BREJINHO";19
"260280 BUIQUE";1
"260290 CABO DE SANTO AGOSTINHO";8
"260300 CABROBO";24
"260310 CACHOEIRINHA";2
"260330 CALCADO";1
"260390 CARNAIBA";2
"260400 CARPINA";7
"260410 CARUARU";2
"260460 CONDADO";1
"260510 CUSTODIA";1
"260515 DORMENTES";9
"260530 EXU";9
"260580 FREI MIGUELINHO";9
"260600 GARANHUNS";27
"260640 GRAVATA";21
"260650 IATI";2
"260660 IBIMIRIM";7
"260700 INAJA";15
"260710 INGAZEIRA";1
"260720 IPOJUCA";4
"260770 ITAPETIM";14
"260775 ITAPISSUMA";11
"260780 ITAQUITINGA";9
"260790 JABOATAO DOS GUARARAPES";36
"260805 JATOBA";16
"260825 JUCATI";2
"260845 LAGOA DO CARRO";2
"260880 LAJEDO";17
"260890 LIMOEIRO";3
"260900 MACAPARANA";1
"260940 MORENO";1
"260950 NAZARE DA MATA";10
"260960 OLINDA";4
"260990 OURICURI";2
"261000 PALMARES";3
"261020 PANELAS";16
"261080 PEDRA";2
"261100 PETROLANDIA";9
"261110 PETROLINA";40
"261120 POCAO";2
"261130 POMBOS";2
"261140 PRIMAVERA";6
"261150 QUIPAPA";3
"261153 QUIXABA";6
"261170 RIACHO DAS ALMAS";10
"261180 RIBEIRAO";3
"261240 SANHARO";15
"261245 SANTA CRUZ";1
"261247 SANTA CRUZ DA BAIXA VERDE";1
"261250 SANTA CRUZ DO CAPIBARIBE";10
"261260 SANTA MARIA DA BOA VISTA";2
"261280 SANTA TEREZINHA";3
"261310 SAO CAITANO";2
"261330 SAO JOAQUIM DO MONTE";4
"261360 SAO JOSE DO EGITO";9
"261370 SAO LOURENCO DA MATA";30
"261450 SURUBIM";7
"261500 TAQUARITINGA DO NORTE";5
"261520 TERRA NOVA";103
"261530 TIMBAUBA";14
"261560 TRINDADE";1
"261610 VERDEJANTE";10
"261618 VERTENTE DO LERIO";4
"261640 VITORIA DE SANTO ANTAO";6
"Total";683
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
