Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Pernambuco
Hiper c/ Diabete por Município
Período:Mai/2010
"Município";"Hiper_c/_Diabete"
"260005 ABREU E LIMA";4
"260010 AFOGADOS DA INGAZEIRA";2
"260030 AGRESTINA";9
"260110 ARARIPINA";10
"260120 ARCOVERDE";7
"260160 BELEM DE SAO FRANCISCO";5
"260170 BELO JARDIM";5
"260200 BODOCO";5
"260230 BONITO";10
"260250 BREJINHO";12
"260290 CABO DE SANTO AGOSTINHO";10
"260310 CACHOEIRINHA";1
"260370 CANHOTINHO";6
"260380 CAPOEIRAS";18
"260390 CARNAIBA";2
"260400 CARPINA";13
"260415 CASINHAS";4
"260460 CONDADO";3
"260470 CORRENTES";1
"260500 CUPIRA";1
"260515 DORMENTES";8
"260530 EXU";11
"260580 FREI MIGUELINHO";2
"260600 GARANHUNS";8
"260640 GRAVATA";23
"260660 IBIMIRIM";3
"260700 INAJA";6
"260720 IPOJUCA";1
"260770 ITAPETIM";10
"260775 ITAPISSUMA";8
"260780 ITAQUITINGA";5
"260790 JABOATAO DOS GUARARAPES";57
"260810 JOAO ALFREDO";2
"260825 JUCATI";1
"260845 LAGOA DO CARRO";6
"260870 LAGOA DOS GATOS";14
"260875 LAGOA GRANDE";3
"260880 LAJEDO";15
"260890 LIMOEIRO";8
"260900 MACAPARANA";1
"260940 MORENO";1
"260950 NAZARE DA MATA";12
"260960 OLINDA";8
"260990 OURICURI";2
"261000 PALMARES";1
"261020 PANELAS";46
"261060 PAUDALHO";8
"261080 PEDRA";2
"261090 PESQUEIRA";38
"261100 PETROLANDIA";6
"261110 PETROLINA";39
"261120 POCAO";4
"261130 POMBOS";1
"261140 PRIMAVERA";2
"261150 QUIPAPA";7
"261170 RIACHO DAS ALMAS";13
"261180 RIBEIRAO";7
"261200 SAIRE";3
"261240 SANHARO";6
"261245 SANTA CRUZ";1
"261247 SANTA CRUZ DA BAIXA VERDE";5
"261250 SANTA CRUZ DO CAPIBARIBE";17
"261260 SANTA MARIA DA BOA VISTA";1
"261280 SANTA TEREZINHA";3
"261310 SAO CAITANO";12
"261320 SAO JOAO";3
"261330 SAO JOAQUIM DO MONTE";1
"261360 SAO JOSE DO EGITO";10
"261370 SAO LOURENCO DA MATA";74
"261450 SURUBIM";38
"261500 TAQUARITINGA DO NORTE";7
"261520 TERRA NOVA";24
"261530 TIMBAUBA";5
"261550 TRACUNHAEM";1
"261590 TUPARETAMA";12
"261618 VERTENTE DO LERIO";3
"261630 VICENCIA";10
"261640 VITORIA DE SANTO ANTAO";4
"Total";757
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
