Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Pernambuco
Hiper c/ Diabete por Município
Período:Jun/2010
"Município";"Hiper_c/_Diabete"
"260005 ABREU E LIMA";36
"260010 AFOGADOS DA INGAZEIRA";8
"260030 AGRESTINA";1
"260110 ARARIPINA";8
"260120 ARCOVERDE";1
"260160 BELEM DE SAO FRANCISCO";5
"260170 BELO JARDIM";3
"260200 BODOCO";2
"260210 BOM CONSELHO";2
"260230 BONITO";39
"260250 BREJINHO";9
"260290 CABO DE SANTO AGOSTINHO";2
"260330 CALCADO";1
"260380 CAPOEIRAS";4
"260390 CARNAIBA";13
"260400 CARPINA";13
"260410 CARUARU";3
"260440 CHA DE ALEGRIA";2
"260460 CONDADO";7
"260500 CUPIRA";12
"260510 CUSTODIA";2
"260515 DORMENTES";3
"260530 EXU";4
"260600 GARANHUNS";8
"260640 GRAVATA";6
"260720 IPOJUCA";3
"260770 ITAPETIM";1
"260775 ITAPISSUMA";10
"260780 ITAQUITINGA";29
"260790 JABOATAO DOS GUARARAPES";12
"260805 JATOBA";2
"260810 JOAO ALFREDO";3
"260825 JUCATI";3
"260845 LAGOA DO CARRO";7
"260860 LAGOA DO OURO";4
"260870 LAGOA DOS GATOS";2
"260875 LAGOA GRANDE";3
"260880 LAJEDO";4
"260890 LIMOEIRO";1
"260940 MORENO";2
"260950 NAZARE DA MATA";10
"260960 OLINDA";4
"260990 OURICURI";3
"261000 PALMARES";1
"261020 PANELAS";5
"261050 PASSIRA";1
"261060 PAUDALHO";5
"261080 PEDRA";3
"261090 PESQUEIRA";62
"261100 PETROLANDIA";10
"261110 PETROLINA";24
"261130 POMBOS";3
"261150 QUIPAPA";2
"261170 RIACHO DAS ALMAS";16
"261180 RIBEIRAO";1
"261220 SALGUEIRO";9
"261240 SANHARO";1
"261247 SANTA CRUZ DA BAIXA VERDE";1
"261250 SANTA CRUZ DO CAPIBARIBE";3
"261255 SANTA FILOMENA";1
"261260 SANTA MARIA DA BOA VISTA";1
"261280 SANTA TEREZINHA";23
"261300 SAO BENTO DO UNA";3
"261320 SAO JOAO";1
"261360 SAO JOSE DO EGITO";2
"261370 SAO LOURENCO DA MATA";73
"261450 SURUBIM";5
"261500 TAQUARITINGA DO NORTE";3
"261520 TERRA NOVA";10
"261530 TIMBAUBA";4
"261550 TRACUNHAEM";2
"261560 TRINDADE";1
"261618 VERTENTE DO LERIO";2
"261640 VITORIA DE SANTO ANTAO";2
"Total";577
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
