Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Pernambuco
Hiper c/ Diabete por Município
Período:Jul/2010
"Município";"Hiper_c/_Diabete"
"260005 ABREU E LIMA";108
"260010 AFOGADOS DA INGAZEIRA";11
"260030 AGRESTINA";1
"260050 AGUAS BELAS";1
"260105 ARACOIABA";1
"260110 ARARIPINA";2
"260120 ARCOVERDE";2
"260160 BELEM DE SAO FRANCISCO";1
"260170 BELO JARDIM";52
"260190 BEZERROS";2
"260200 BODOCO";1
"260210 BOM CONSELHO";4
"260230 BONITO";48
"260250 BREJINHO";9
"260290 CABO DE SANTO AGOSTINHO";3
"260300 CABROBO";4
"260330 CALCADO";18
"260370 CANHOTINHO";1
"260380 CAPOEIRAS";18
"260390 CARNAIBA";8
"260400 CARPINA";6
"260410 CARUARU";2
"260460 CONDADO";5
"260500 CUPIRA";17
"260510 CUSTODIA";23
"260515 DORMENTES";1
"260530 EXU";9
"260540 FEIRA NOVA";2
"260600 GARANHUNS";19
"260640 GRAVATA";11
"260660 IBIMIRIM";2
"260700 INAJA";2
"260710 INGAZEIRA";1
"260720 IPOJUCA";1
"260760 ILHA DE ITAMARACA";1
"260770 ITAPETIM";1
"260775 ITAPISSUMA";11
"260780 ITAQUITINGA";5
"260790 JABOATAO DOS GUARARAPES";25
"260825 JUCATI";10
"260845 LAGOA DO CARRO";6
"260875 LAGOA GRANDE";6
"260880 LAJEDO";17
"260890 LIMOEIRO";4
"260950 NAZARE DA MATA";6
"260960 OLINDA";15
"260990 OURICURI";10
"261000 PALMARES";4
"261020 PANELAS";13
"261060 PAUDALHO";34
"261080 PEDRA";1
"261090 PESQUEIRA";40
"261100 PETROLANDIA";8
"261110 PETROLINA";30
"261120 POCAO";2
"261130 POMBOS";3
"261150 QUIPAPA";1
"261170 RIACHO DAS ALMAS";4
"261180 RIBEIRAO";5
"261200 SAIRE";8
"261240 SANHARO";10
"261245 SANTA CRUZ";2
"261250 SANTA CRUZ DO CAPIBARIBE";7
"261310 SAO CAITANO";1
"261360 SAO JOSE DO EGITO";5
"261370 SAO LOURENCO DA MATA";25
"261450 SURUBIM";20
"261500 TAQUARITINGA DO NORTE";7
"261510 TEREZINHA";1
"261530 TIMBAUBA";2
"261560 TRINDADE";7
"261610 VERDEJANTE";1
"261618 VERTENTE DO LERIO";1
"261630 VICENCIA";1
"261640 VITORIA DE SANTO ANTAO";2
"Total";758
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
