Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Pernambuco
Hiper c/ Diabete por Município
Período:Ago/2010
"Município";"Hiper_c/_Diabete"
"260005 ABREU E LIMA";36
"260010 AFOGADOS DA INGAZEIRA";2
"260030 AGRESTINA";9
"260105 ARACOIABA";2
"260120 ARCOVERDE";3
"260170 BELO JARDIM";36
"260190 BEZERROS";2
"260210 BOM CONSELHO";3
"260230 BONITO";19
"260250 BREJINHO";18
"260280 BUIQUE";2
"260290 CABO DE SANTO AGOSTINHO";17
"260330 CALCADO";5
"260370 CANHOTINHO";1
"260380 CAPOEIRAS";42
"260390 CARNAIBA";25
"260410 CARUARU";10
"260415 CASINHAS";3
"260440 CHA DE ALEGRIA";2
"260460 CONDADO";8
"260470 CORRENTES";2
"260490 CUMARU";4
"260500 CUPIRA";3
"260510 CUSTODIA";16
"260530 EXU";11
"260540 FEIRA NOVA";1
"260600 GARANHUNS";19
"260640 GRAVATA";12
"260660 IBIMIRIM";2
"260710 INGAZEIRA";1
"260770 ITAPETIM";2
"260775 ITAPISSUMA";12
"260790 JABOATAO DOS GUARARAPES";37
"260810 JOAO ALFREDO";4
"260825 JUCATI";4
"260845 LAGOA DO CARRO";4
"260860 LAGOA DO OURO";2
"260870 LAGOA DOS GATOS";1
"260875 LAGOA GRANDE";3
"260880 LAJEDO";11
"260890 LIMOEIRO";11
"260940 MORENO";3
"260950 NAZARE DA MATA";1
"260960 OLINDA";11
"260990 OURICURI";14
"261020 PANELAS";21
"261060 PAUDALHO";3
"261080 PEDRA";2
"261090 PESQUEIRA";148
"261100 PETROLANDIA";11
"261110 PETROLINA";37
"261120 POCAO";11
"261130 POMBOS";2
"261150 QUIPAPA";3
"261170 RIACHO DAS ALMAS";9
"261180 RIBEIRAO";2
"261200 SAIRE";13
"261210 SALGADINHO";2
"261220 SALGUEIRO";49
"261240 SANHARO";17
"261245 SANTA CRUZ";1
"261250 SANTA CRUZ DO CAPIBARIBE";9
"261280 SANTA TEREZINHA";1
"261300 SAO BENTO DO UNA";3
"261310 SAO CAITANO";2
"261360 SAO JOSE DO EGITO";10
"261370 SAO LOURENCO DA MATA";40
"261450 SURUBIM";71
"261500 TAQUARITINGA DO NORTE";3
"261520 TERRA NOVA";13
"261530 TIMBAUBA";6
"261550 TRACUNHAEM";2
"261560 TRINDADE";5
"261600 VENTUROSA";2
"261610 VERDEJANTE";4
"261618 VERTENTE DO LERIO";4
"261640 VITORIA DE SANTO ANTAO";2
"Total";944
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
