Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Pernambuco
Hiper c/ Diabete por Município
Período:Set/2010
"Município";"Hiper_c/_Diabete"
"260005 ABREU E LIMA";14
"260010 AFOGADOS DA INGAZEIRA";1
"260030 AGRESTINA";10
"260050 AGUAS BELAS";1
"260170 BELO JARDIM";9
"260230 BONITO";63
"260250 BREJINHO";6
"260280 BUIQUE";1
"260290 CABO DE SANTO AGOSTINHO";3
"260300 CABROBO";3
"260330 CALCADO";14
"260370 CANHOTINHO";6
"260380 CAPOEIRAS";23
"260390 CARNAIBA";67
"260400 CARPINA";3
"260410 CARUARU";14
"260415 CASINHAS";1
"260460 CONDADO";8
"260490 CUMARU";8
"260510 CUSTODIA";3
"260515 DORMENTES";1
"260530 EXU";2
"260540 FEIRA NOVA";5
"260600 GARANHUNS";13
"260640 GRAVATA";8
"260700 INAJA";2
"260775 ITAPISSUMA";8
"260780 ITAQUITINGA";1
"260790 JABOATAO DOS GUARARAPES";65
"260810 JOAO ALFREDO";1
"260820 JOAQUIM NABUCO";2
"260825 JUCATI";7
"260845 LAGOA DO CARRO";4
"260875 LAGOA GRANDE";1
"260880 LAJEDO";6
"260890 LIMOEIRO";2
"260940 MORENO";1
"260950 NAZARE DA MATA";5
"260960 OLINDA";19
"260990 OURICURI";3
"261020 PANELAS";6
"261060 PAUDALHO";8
"261080 PEDRA";7
"261090 PESQUEIRA";88
"261100 PETROLANDIA";8
"261110 PETROLINA";39
"261120 POCAO";15
"261130 POMBOS";4
"261140 PRIMAVERA";17
"261170 RIACHO DAS ALMAS";19
"261180 RIBEIRAO";9
"261210 SALGADINHO";3
"261220 SALGUEIRO";36
"261240 SANHARO";4
"261245 SANTA CRUZ";2
"261250 SANTA CRUZ DO CAPIBARIBE";3
"261280 SANTA TEREZINHA";1
"261300 SAO BENTO DO UNA";8
"261320 SAO JOAO";2
"261330 SAO JOAQUIM DO MONTE";1
"261360 SAO JOSE DO EGITO";13
"261370 SAO LOURENCO DA MATA";6
"261450 SURUBIM";29
"261500 TAQUARITINGA DO NORTE";2
"261530 TIMBAUBA";3
"261560 TRINDADE";6
"261610 VERDEJANTE";3
"261618 VERTENTE DO LERIO";1
"261630 VICENCIA";1
"261640 VITORIA DE SANTO ANTAO";1
"Total";759
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
