Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Piauí
Hiper c/ Diabete por Município
Período:Jan/2010
"Município";"Hiper_c/_Diabete"
"220020 AGUA BRANCA";3
"220040 ALTOS";1
"220050 AMARANTE";4
"220060 ANGICAL DO PIAUI";1
"220100 ARRAIAL";2
"220115 BAIXA GRANDE DO RIBEIRO";1
"220140 BARRO DURO";2
"220150 BATALHA";1
"220157 BELEM DO PIAUI";1
"220180 BOCAINA";3
"220190 BOM JESUS";1
"220196 BRASILEIRA";12
"220198 BREJO DO PIAUI";1
"220202 BURITI DOS MONTES";1
"220205 CABECEIRAS DO PIAUI";2
"220207 CAJAZEIRAS DO PIAUI";1
"220211 CAMPO ALEGRE DO FIDALGO";1
"220217 CAMPO LARGO DO PIAUI";6
"220220 CAMPO MAIOR";15
"220225 CANAVIEIRA";1
"220230 CANTO DO BURITI";2
"220240 CAPITAO DE CAMPOS";2
"220253 CARAUBAS DO PIAUI";1
"220260 CASTELO DO PIAUI";2
"220270 COCAL";1
"220271 COCAL DE TELHA";2
"220285 CORONEL JOSE DIAS";1
"220290 CORRENTE";7
"220300 CRISTALANDIA DO PIAUI";2
"220310 CRISTINO CASTRO";4
"220320 CURIMATA";2
"220323 CURRAIS";1
"220340 DOM EXPEDITO LOPES";3
"220350 ELESBAO VELOSO";2
"220390 FLORIANO";9
"220410 FRANCISCO AYRES";1
"220430 FRONTEIRAS";2
"220435 GEMINIANO";1
"220450 GUADALUPE";1
"220470 INHUMA";4
"220480 IPIRANGA DO PIAUI";2
"220500 ITAINOPOLIS";1
"220510 ITAUEIRA";4
"220535 JOAO COSTA";4
"220545 JOCA MARQUES";1
"220552 JULIO BORGES";7
"220570 LUIS CORREIA";4
"220580 LUZILANDIA";2
"220610 MATIAS OLIMPIO";1
"220620 MIGUEL ALVES";17
"220667 MORRO DO CHAPEU DO PIAUI";1
"220680 NOSSA SENHORA DOS REMEDIOS";1
"220700 OEIRAS";3
"220720 PADRE MARCOS";2
"220730 PAES LANDIM";1
"220750 PALMEIRAIS";12
"220770 PARNAIBA";8
"220775 PASSAGEM FRANCA DO PIAUI";2
"220779 PAU D'ARCO DO PIAUI";1
"220790 PEDRO II";1
"220800 PICOS";11
"220840 PIRIPIRI";1
"220850 PORTO";4
"220865 QUEIMADA NOVA";1
"220970 SAO FRANCISCO DO PIAUI";32
"221040 SAO MIGUEL DO TAPUIO";1
"221050 SAO PEDRO DO PIAUI";1
"221070 SIMOES";2
"221100 TERESINA";20
"221110 UNIAO";12
"221120 URUCUI";1
"221130 VALENCA DO PIAUI";7
"221135 VARZEA BRANCA";2
"Total";280
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
