Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Piauí
Hiper c/ Diabete por Município
Período:Out/2010
"Município";"Hiper_c/_Diabete"
"220020 AGUA BRANCA";1
"220090 AROAZES";1
"220120 BARRAS";11
"220160 BENEDITINOS";6
"220190 BOM JESUS";2
"220220 CAMPO MAIOR";4
"220240 CAPITAO DE CAMPOS";1
"220250 CARACOL";1
"220253 CARAUBAS DO PIAUI";2
"220265 CAXINGO";22
"220270 COCAL";1
"220280 CONCEICAO DO CANINDE";3
"220290 CORRENTE";2
"220350 ELESBAO VELOSO";2
"220370 ESPERANTINA";2
"220390 FLORIANO";1
"220430 FRONTEIRAS";1
"220470 INHUMA";1
"220540 JOAQUIM PIRES";1
"220556 LAGOA DO BARRO DO PIAUI";2
"220570 LUIS CORREIA";1
"220580 LUZILANDIA";4
"220620 MIGUEL ALVES";4
"220720 PADRE MARCOS";1
"220750 PALMEIRAIS";5
"220770 PARNAIBA";5
"220793 PEDRO LAURENTINO";1
"220800 PICOS";9
"220810 PIMENTEIRAS";1
"220840 PIRIPIRI";2
"220850 PORTO";1
"220915 SANTA CRUZ DOS MILAGRES";1
"221050 SAO PEDRO DO PIAUI";1
"221100 TERESINA";24
"221110 UNIAO";5
"221130 VALENCA DO PIAUI";2
"Total";134
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
