Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Piauí
Hiper c/ Diabete por Município
Período:Nov/2010
"Município";"Hiper_c/_Diabete"
"220020 AGUA BRANCA";2
"220050 AMARANTE";3
"220060 ANGICAL DO PIAUI";1
"220100 ARRAIAL";2
"220115 BAIXA GRANDE DO RIBEIRO";1
"220150 BATALHA";2
"220170 BERTOLINIA";1
"220192 BONFIM DO PIAUI";10
"220220 CAMPO MAIOR";3
"220250 CARACOL";1
"220253 CARAUBAS DO PIAUI";1
"220255 CARIDADE DO PIAUI";1
"220265 CAXINGO";8
"220270 COCAL";2
"220310 CRISTINO CASTRO";2
"220320 CURIMATA";1
"220350 ELESBAO VELOSO";2
"220410 FRANCISCO AYRES";1
"220415 FRANCISCO MACEDO";1
"220440 GILBUES";2
"220450 GUADALUPE";2
"220470 INHUMA";4
"220500 ITAINOPOLIS";1
"220510 ITAUEIRA";1
"220535 JOAO COSTA";1
"220540 JOAQUIM PIRES";3
"220570 LUIS CORREIA";3
"220580 LUZILANDIA";1
"220610 MATIAS OLIMPIO";4
"220620 MIGUEL ALVES";1
"220635 MILTON BRANDAO";1
"220669 MURICI DOS PORTELAS";2
"220750 PALMEIRAIS";15
"220755 PAQUETA";1
"220770 PARNAIBA";9
"220775 PASSAGEM FRANCA DO PIAUI";5
"220800 PICOS";6
"220840 PIRIPIRI";5
"220935 SANTANA DO PIAUI";2
"220960 SAO FELIX DO PIAUI";1
"221040 SAO MIGUEL DO TAPUIO";1
"221070 SIMOES";3
"221100 TERESINA";35
"221110 UNIAO";17
"221130 VALENCA DO PIAUI";2
"221135 VARZEA BRANCA";1
"Total";174
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
