Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Piauí
Hiper c/ Diabete por Município
Período:Dez/2010
"Município";"Hiper_c/_Diabete"
"220020 AGUA BRANCA";1
"220027 ALEGRETE DO PIAUI";2
"220050 AMARANTE";1
"220100 ARRAIAL";1
"220120 BARRAS";2
"220140 BARRO DURO";1
"220177 BOA HORA";1
"220200 BURITI DOS LOPES";1
"220217 CAMPO LARGO DO PIAUI";1
"220220 CAMPO MAIOR";1
"220225 CANAVIEIRA";1
"220250 CARACOL";1
"220253 CARAUBAS DO PIAUI";1
"220255 CARIDADE DO PIAUI";1
"220265 CAXINGO";4
"220273 COIVARAS";1
"220370 ESPERANTINA";1
"220400 FRANCINOPOLIS";1
"220470 INHUMA";1
"220500 ITAINOPOLIS";2
"220550 JOSE DE FREITAS";1
"220552 JULIO BORGES";1
"220556 LAGOA DO BARRO DO PIAUI";1
"220669 MURICI DOS PORTELAS";2
"220690 NOVO ORIENTE DO PIAUI";1
"220700 OEIRAS";1
"220750 PALMEIRAIS";4
"220770 PARNAIBA";6
"220800 PICOS";7
"220840 PIRIPIRI";2
"221040 SAO MIGUEL DO TAPUIO";1
"221093 SUSSUAPARA";1
"221100 TERESINA";69
"221110 UNIAO";3
"221120 URUCUI";11
"221135 VARZEA BRANCA";1
"Total";138
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
