Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Piauí
Hiper c/ Diabete por Município
Período:Fev/2010
"Município";"Hiper_c/_Diabete"
"220020 AGUA BRANCA";2
"220100 ARRAIAL";9
"220115 BAIXA GRANDE DO RIBEIRO";1
"220120 BARRAS";2
"220140 BARRO DURO";1
"220150 BATALHA";3
"220157 BELEM DO PIAUI";2
"220177 BOA HORA";1
"220190 BOM JESUS";2
"220196 BRASILEIRA";6
"220205 CABECEIRAS DO PIAUI";1
"220211 CAMPO ALEGRE DO FIDALGO";2
"220220 CAMPO MAIOR";7
"220225 CANAVIEIRA";1
"220230 CANTO DO BURITI";1
"220240 CAPITAO DE CAMPOS";2
"220271 COCAL DE TELHA";1
"220280 CONCEICAO DO CANINDE";1
"220290 CORRENTE";3
"220300 CRISTALANDIA DO PIAUI";1
"220310 CRISTINO CASTRO";8
"220323 CURRAIS";7
"220340 DOM EXPEDITO LOPES";1
"220350 ELESBAO VELOSO";5
"220370 ESPERANTINA";1
"220390 FLORIANO";13
"220440 GILBUES";1
"220450 GUADALUPE";2
"220480 IPIRANGA DO PIAUI";1
"220500 ITAINOPOLIS";1
"220510 ITAUEIRA";3
"220552 JULIO BORGES";1
"220553 JUREMA";1
"220556 LAGOA DO BARRO DO PIAUI";2
"220570 LUIS CORREIA";5
"220580 LUZILANDIA";1
"220610 MATIAS OLIMPIO";1
"220620 MIGUEL ALVES";17
"220667 MORRO DO CHAPEU DO PIAUI";2
"220669 MURICI DOS PORTELAS";1
"220680 NOSSA SENHORA DOS REMEDIOS";1
"220700 OEIRAS";2
"220720 PADRE MARCOS";1
"220730 PAES LANDIM";2
"220740 PALMEIRA DO PIAUI";2
"220750 PALMEIRAIS";9
"220770 PARNAIBA";7
"220775 PASSAGEM FRANCA DO PIAUI";1
"220777 PATOS DO PIAUI";2
"220800 PICOS";9
"220840 PIRIPIRI";4
"220850 PORTO";4
"220860 PRATA DO PIAUI";1
"220970 SAO FRANCISCO DO PIAUI";15
"221070 SIMOES";1
"221100 TERESINA";16
"221110 UNIAO";7
"221135 VARZEA BRANCA";1
"Total";208
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
