Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Piauí
Hiper c/ Diabete por Município
Período:Mar/2010
"Município";"Hiper_c/_Diabete"
"220020 AGUA BRANCA";2
"220025 ALAGOINHA DO PIAUI";3
"220030 ALTO LONGA";3
"220050 AMARANTE";2
"220060 ANGICAL DO PIAUI";1
"220090 AROAZES";2
"220100 ARRAIAL";6
"220140 BARRO DURO";2
"220157 BELEM DO PIAUI";1
"220180 BOCAINA";2
"220196 BRASILEIRA";4
"220205 CABECEIRAS DO PIAUI";5
"220213 CAMPO GRANDE DO PIAUI";1
"220220 CAMPO MAIOR";13
"220230 CANTO DO BURITI";4
"220250 CARACOL";1
"220270 COCAL";1
"220280 CONCEICAO DO CANINDE";1
"220290 CORRENTE";3
"220310 CRISTINO CASTRO";11
"220320 CURIMATA";2
"220350 ELESBAO VELOSO";4
"220370 ESPERANTINA";6
"220390 FLORIANO";2
"220410 FRANCISCO AYRES";1
"220435 GEMINIANO";1
"220450 GUADALUPE";1
"220470 INHUMA";8
"220500 ITAINOPOLIS";2
"220510 ITAUEIRA";18
"220545 JOCA MARQUES";1
"220552 JULIO BORGES";9
"220553 JUREMA";1
"220556 LAGOA DO BARRO DO PIAUI";1
"220557 LAGOA DE SAO FRANCISCO";1
"220558 LAGOA DO PIAUI";1
"220570 LUIS CORREIA";7
"220580 LUZILANDIA";1
"220610 MATIAS OLIMPIO";8
"220620 MIGUEL ALVES";22
"220640 MONSENHOR GIL";2
"220650 MONSENHOR HIPOLITO";2
"220680 NOSSA SENHORA DOS REMEDIOS";4
"220700 OEIRAS";3
"220730 PAES LANDIM";2
"220740 PALMEIRA DO PIAUI";2
"220750 PALMEIRAIS";2
"220770 PARNAIBA";12
"220775 PASSAGEM FRANCA DO PIAUI";1
"220800 PICOS";8
"220840 PIRIPIRI";6
"220850 PORTO";1
"220865 QUEIMADA NOVA";2
"220920 SANTA FILOMENA";2
"220997 SAO JOAO DO ARRAIAL";1
"221040 SAO MIGUEL DO TAPUIO";1
"221070 SIMOES";3
"221100 TERESINA";39
"221110 UNIAO";5
"221130 VALENCA DO PIAUI";1
"221135 VARZEA BRANCA";1
"Total";265
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
