Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Piauí
Hiper c/ Diabete por Município
Período:Abr/2010
"Município";"Hiper_c/_Diabete"
"220020 AGUA BRANCA";4
"220025 ALAGOINHA DO PIAUI";2
"220040 ALTOS";1
"220050 AMARANTE";1
"220100 ARRAIAL";1
"220120 BARRAS";1
"220140 BARRO DURO";3
"220150 BATALHA";1
"220155 BELA VISTA DO PIAUI";1
"220198 BREJO DO PIAUI";1
"220207 CAJAZEIRAS DO PIAUI";1
"220208 CAJUEIRO DA PRAIA";1
"220220 CAMPO MAIOR";4
"220230 CANTO DO BURITI";1
"220250 CARACOL";6
"220253 CARAUBAS DO PIAUI";1
"220260 CASTELO DO PIAUI";1
"220271 COCAL DE TELHA";1
"220290 CORRENTE";1
"220300 CRISTALANDIA DO PIAUI";1
"220310 CRISTINO CASTRO";5
"220320 CURIMATA";1
"220340 DOM EXPEDITO LOPES";1
"220350 ELESBAO VELOSO";1
"220370 ESPERANTINA";2
"220410 FRANCISCO AYRES";1
"220430 FRONTEIRAS";1
"220470 INHUMA";5
"220480 IPIRANGA DO PIAUI";1
"220500 ITAINOPOLIS";1
"220510 ITAUEIRA";6
"220552 JULIO BORGES";3
"220570 LUIS CORREIA";3
"220580 LUZILANDIA";3
"220610 MATIAS OLIMPIO";4
"220620 MIGUEL ALVES";3
"220635 MILTON BRANDAO";2
"220640 MONSENHOR GIL";1
"220667 MORRO DO CHAPEU DO PIAUI";1
"220690 NOVO ORIENTE DO PIAUI";2
"220700 OEIRAS";2
"220730 PAES LANDIM";2
"220740 PALMEIRA DO PIAUI";3
"220775 PASSAGEM FRANCA DO PIAUI";1
"220800 PICOS";8
"220810 PIMENTEIRAS";1
"220830 PIRACURUCA";1
"220840 PIRIPIRI";14
"220960 SAO FELIX DO PIAUI";1
"220985 SAO JOAO DA CANABRAVA";1
"221040 SAO MIGUEL DO TAPUIO";1
"221093 SUSSUAPARA";1
"221100 TERESINA";36
"221110 UNIAO";5
"Total";158
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
