Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Piauí
Hiper c/ Diabete por Município
Período:Mai/2010
"Município";"Hiper_c/_Diabete"
"220020 AGUA BRANCA";3
"220027 ALEGRETE DO PIAUI";1
"220050 AMARANTE";1
"220090 AROAZES";1
"220110 AVELINO LOPES";1
"220115 BAIXA GRANDE DO RIBEIRO";1
"220120 BARRAS";1
"220140 BARRO DURO";2
"220157 BELEM DO PIAUI";1
"220160 BENEDITINOS";1
"220180 BOCAINA";1
"220190 BOM JESUS";3
"220205 CABECEIRAS DO PIAUI";3
"220209 CALDEIRAO GRANDE DO PIAUI";1
"220211 CAMPO ALEGRE DO FIDALGO";2
"220220 CAMPO MAIOR";7
"220250 CARACOL";2
"220253 CARAUBAS DO PIAUI";1
"220300 CRISTALANDIA DO PIAUI";3
"220310 CRISTINO CASTRO";7
"220370 ESPERANTINA";4
"220390 FLORIANO";3
"220460 HUGO NAPOLEAO";6
"220470 INHUMA";31
"220480 IPIRANGA DO PIAUI";1
"220500 ITAINOPOLIS";1
"220510 ITAUEIRA";3
"220550 JOSE DE FREITAS";1
"220556 LAGOA DO BARRO DO PIAUI";1
"220557 LAGOA DE SAO FRANCISCO";2
"220570 LUIS CORREIA";2
"220585 MADEIRO";1
"220610 MATIAS OLIMPIO";1
"220620 MIGUEL ALVES";19
"220635 MILTON BRANDAO";1
"220667 MORRO DO CHAPEU DO PIAUI";1
"220720 PADRE MARCOS";1
"220740 PALMEIRA DO PIAUI";1
"220750 PALMEIRAIS";3
"220755 PAQUETA";1
"220770 PARNAIBA";5
"220800 PICOS";17
"220810 PIMENTEIRAS";1
"220840 PIRIPIRI";22
"220960 SAO FELIX DO PIAUI";1
"221070 SIMOES";1
"221100 TERESINA";43
"221110 UNIAO";5
"Total";222
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
