Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Piauí
Hiper c/ Diabete por Município
Período:Jun/2010
"Município";"Hiper_c/_Diabete"
"220020 AGUA BRANCA";1
"220050 AMARANTE";1
"220150 BATALHA";9
"220180 BOCAINA";7
"220190 BOM JESUS";1
"220192 BONFIM DO PIAUI";10
"220207 CAJAZEIRAS DO PIAUI";2
"220213 CAMPO GRANDE DO PIAUI";1
"220217 CAMPO LARGO DO PIAUI";1
"220220 CAMPO MAIOR";5
"220225 CANAVIEIRA";2
"220250 CARACOL";1
"220260 CASTELO DO PIAUI";1
"220265 CAXINGO";1
"220280 CONCEICAO DO CANINDE";1
"220290 CORRENTE";2
"220310 CRISTINO CASTRO";15
"220320 CURIMATA";3
"220370 ESPERANTINA";1
"220390 FLORIANO";6
"220435 GEMINIANO";2
"220450 GUADALUPE";1
"220470 INHUMA";15
"220500 ITAINOPOLIS";1
"220535 JOAO COSTA";2
"220540 JOAQUIM PIRES";1
"220552 JULIO BORGES";1
"220570 LUIS CORREIA";4
"220620 MIGUEL ALVES";7
"220635 MILTON BRANDAO";7
"220650 MONSENHOR HIPOLITO";1
"220695 NOVO SANTO ANTONIO";1
"220700 OEIRAS";1
"220720 PADRE MARCOS";1
"220740 PALMEIRA DO PIAUI";1
"220750 PALMEIRAIS";10
"220770 PARNAIBA";38
"220775 PASSAGEM FRANCA DO PIAUI";1
"220800 PICOS";5
"220840 PIRIPIRI";11
"220860 PRATA DO PIAUI";2
"220865 QUEIMADA NOVA";1
"220880 REGENERACAO";1
"220915 SANTA CRUZ DOS MILAGRES";3
"221100 TERESINA";36
"221110 UNIAO";14
"221130 VALENCA DO PIAUI";2
"Total";241
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
