Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Piauí
Hiper c/ Diabete por Município
Período:Jul/2010
"Município";"Hiper_c/_Diabete"
"220025 ALAGOINHA DO PIAUI";1
"220060 ANGICAL DO PIAUI";1
"220117 BARRA D'ALCANTARA";2
"220140 BARRO DURO";7
"220150 BATALHA";3
"220157 BELEM DO PIAUI";1
"220180 BOCAINA";2
"220190 BOM JESUS";1
"220192 BONFIM DO PIAUI";3
"220196 BRASILEIRA";3
"220198 BREJO DO PIAUI";3
"220205 CABECEIRAS DO PIAUI";1
"220207 CAJAZEIRAS DO PIAUI";1
"220220 CAMPO MAIOR";5
"220230 CANTO DO BURITI";2
"220240 CAPITAO DE CAMPOS";2
"220253 CARAUBAS DO PIAUI";1
"220255 CARIDADE DO PIAUI";1
"220290 CORRENTE";1
"220350 ELESBAO VELOSO";1
"220370 ESPERANTINA";1
"220450 GUADALUPE";1
"220470 INHUMA";4
"220510 ITAUEIRA";1
"220535 JOAO COSTA";1
"220550 JOSE DE FREITAS";3
"220570 LUIS CORREIA";2
"220610 MATIAS OLIMPIO";1
"220620 MIGUEL ALVES";2
"220635 MILTON BRANDAO";1
"220667 MORRO DO CHAPEU DO PIAUI";1
"220750 PALMEIRAIS";10
"220755 PAQUETA";1
"220770 PARNAIBA";19
"220775 PASSAGEM FRANCA DO PIAUI";1
"220800 PICOS";11
"220810 PIMENTEIRAS";1
"220840 PIRIPIRI";8
"220850 PORTO";3
"220860 PRATA DO PIAUI";2
"220865 QUEIMADA NOVA";1
"220880 REGENERACAO";2
"221040 SAO MIGUEL DO TAPUIO";1
"221070 SIMOES";2
"221093 SUSSUAPARA";1
"221100 TERESINA";33
"221110 UNIAO";4
"Total";160
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
