Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Piauí
Hiper c/ Diabete por Município
Período:Ago/2010
"Município";"Hiper_c/_Diabete"
"220020 AGUA BRANCA";3
"220027 ALEGRETE DO PIAUI";1
"220050 AMARANTE";2
"220115 BAIXA GRANDE DO RIBEIRO";1
"220120 BARRAS";19
"220150 BATALHA";4
"220190 BOM JESUS";2
"220192 BONFIM DO PIAUI";1
"220198 BREJO DO PIAUI";2
"220205 CABECEIRAS DO PIAUI";1
"220217 CAMPO LARGO DO PIAUI";2
"220220 CAMPO MAIOR";7
"220240 CAPITAO DE CAMPOS";1
"220250 CARACOL";3
"220253 CARAUBAS DO PIAUI";2
"220265 CAXINGO";1
"220273 COIVARAS";1
"220280 CONCEICAO DO CANINDE";1
"220290 CORRENTE";1
"220320 CURIMATA";1
"220350 ELESBAO VELOSO";1
"220370 ESPERANTINA";8
"220415 FRANCISCO MACEDO";1
"220435 GEMINIANO";2
"220460 HUGO NAPOLEAO";4
"220470 INHUMA";3
"220500 ITAINOPOLIS";2
"220535 JOAO COSTA";1
"220540 JOAQUIM PIRES";6
"220550 JOSE DE FREITAS";2
"220552 JULIO BORGES";5
"220570 LUIS CORREIA";3
"220605 MASSAPE DO PIAUI";3
"220620 MIGUEL ALVES";3
"220635 MILTON BRANDAO";3
"220650 MONSENHOR HIPOLITO";1
"220667 MORRO DO CHAPEU DO PIAUI";2
"220669 MURICI DOS PORTELAS";1
"220690 NOVO ORIENTE DO PIAUI";1
"220735 PAJEU DO PIAUI";1
"220750 PALMEIRAIS";7
"220770 PARNAIBA";7
"220775 PASSAGEM FRANCA DO PIAUI";3
"220777 PATOS DO PIAUI";1
"220790 PEDRO II";1
"220793 PEDRO LAURENTINO";2
"220800 PICOS";11
"220840 PIRIPIRI";11
"220860 PRATA DO PIAUI";3
"220865 QUEIMADA NOVA";1
"220880 REGENERACAO";1
"220960 SAO FELIX DO PIAUI";1
"221040 SAO MIGUEL DO TAPUIO";1
"221070 SIMOES";3
"221100 TERESINA";32
"221110 UNIAO";8
"221130 VALENCA DO PIAUI";3
"Total";205
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
