Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Piauí
Hiper c/ Diabete por Município
Período:Set/2010
"Município";"Hiper_c/_Diabete"
"220020 AGUA BRANCA";3
"220025 ALAGOINHA DO PIAUI";1
"220027 ALEGRETE DO PIAUI";2
"220120 BARRAS";4
"220140 BARRO DURO";1
"220150 BATALHA";4
"220196 BRASILEIRA";8
"220220 CAMPO MAIOR";7
"220225 CANAVIEIRA";1
"220230 CANTO DO BURITI";5
"220240 CAPITAO DE CAMPOS";3
"220265 CAXINGO";1
"220273 COIVARAS";1
"220300 CRISTALANDIA DO PIAUI";1
"220320 CURIMATA";2
"220350 ELESBAO VELOSO";1
"220370 ESPERANTINA";5
"220450 GUADALUPE";1
"220460 HUGO NAPOLEAO";7
"220500 ITAINOPOLIS";1
"220510 ITAUEIRA";1
"220540 JOAQUIM PIRES";1
"220550 JOSE DE FREITAS";2
"220552 JULIO BORGES";6
"220570 LUIS CORREIA";2
"220580 LUZILANDIA";2
"220585 MADEIRO";3
"220605 MASSAPE DO PIAUI";1
"220620 MIGUEL ALVES";5
"220680 NOSSA SENHORA DOS REMEDIOS";2
"220735 PAJEU DO PIAUI";2
"220750 PALMEIRAIS";3
"220770 PARNAIBA";11
"220777 PATOS DO PIAUI";1
"220779 PAU D'ARCO DO PIAUI";2
"220793 PEDRO LAURENTINO";3
"220800 PICOS";5
"220840 PIRIPIRI";5
"220850 PORTO";1
"220960 SAO FELIX DO PIAUI";1
"221070 SIMOES";3
"221100 TERESINA";43
"221110 UNIAO";6
"221130 VALENCA DO PIAUI";9
"221150 VERA MENDES";1
"221170 WALL FERRAZ";1
"Total";181
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
