Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Rio de Janeiro
Hiper c/ Diabete por Município
Período:Jan/2010
"Município";"Hiper_c/_Diabete"
"330010 ANGRA DOS REIS";27
"330015 APERIBE";2
"330020 ARARUAMA";2
"330023 ARMACAO DOS BUZIOS";2
"330025 ARRAIAL DO CABO";3
"330030 BARRA DO PIRAI";2
"330045 BELFORD ROXO";2
"330050 BOM JARDIM";1
"330070 CABO FRIO";81
"330080 CACHOEIRAS DE MACACU";1
"330100 CAMPOS DOS GOYTACAZES";90
"330110 CANTAGALO";1
"330130 CASIMIRO DE ABREU";7
"330160 DUAS BARRAS";1
"330170 DUQUE DE CAXIAS";26
"330180 ENGENHEIRO PAULO DE FRONTIN";1
"330190 ITABORAI";21
"330200 ITAGUAI";20
"330220 ITAPERUNA";20
"330227 JAPERI";33
"330240 MACAE";10
"330250 MAGE";31
"330260 MANGARATIBA";4
"330270 MARICA";18
"330280 MENDES";16
"330285 MESQUITA";67
"330290 MIGUEL PEREIRA";4
"330300 MIRACEMA";22
"330320 NILOPOLIS";1
"330330 NITEROI";87
"330340 NOVA FRIBURGO";16
"330350 NOVA IGUACU";204
"330360 PARACAMBI";3
"330370 PARAIBA DO SUL";5
"330380 PARATY";46
"330411 PORTO REAL";17
"330412 QUATIS";4
"330414 QUEIMADOS";7
"330415 QUISSAMA";17
"330420 RESENDE";18
"330430 RIO BONITO";1
"330440 RIO CLARO";2
"330452 RIO DAS OSTRAS";46
"330475 SAO FRANCISCO DE ITABAPOANA";20
"330500 SAO JOAO DA BARRA";23
"330510 SAO JOAO DE MERITI";36
"330520 SAO PEDRO DA ALDEIA";9
"330530 SAO SEBASTIAO DO ALTO";4
"330555 SEROPEDICA";2
"330560 SILVA JARDIM";36
"330570 SUMIDOURO";5
"330590 TRAJANO DE MORAES";4
"330600 TRES RIOS";14
"330630 VOLTA REDONDA";147
"Total";1289
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
