Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Rio de Janeiro
Hiper c/ Diabete por Município
Período:Out/2010
"Município";"Hiper_c/_Diabete"
"330010 ANGRA DOS REIS";61
"330020 ARARUAMA";10
"330025 ARRAIAL DO CABO";3
"330030 BARRA DO PIRAI";13
"330040 BARRA MANSA";1
"330045 BELFORD ROXO";7
"330060 BOM JESUS DO ITABAPOANA";2
"330070 CABO FRIO";27
"330080 CACHOEIRAS DE MACACU";6
"330093 CARAPEBUS";1
"330100 CAMPOS DOS GOYTACAZES";26
"330110 CANTAGALO";2
"330130 CASIMIRO DE ABREU";5
"330140 CONCEICAO DE MACABU";1
"330160 DUAS BARRAS";3
"330170 DUQUE DE CAXIAS";62
"330180 ENGENHEIRO PAULO DE FRONTIN";21
"330187 IGUABA GRANDE";3
"330190 ITABORAI";60
"330200 ITAGUAI";26
"330220 ITAPERUNA";5
"330227 JAPERI";7
"330240 MACAE";27
"330250 MAGE";9
"330260 MANGARATIBA";3
"330270 MARICA";16
"330280 MENDES";1
"330285 MESQUITA";35
"330290 MIGUEL PEREIRA";8
"330320 NILOPOLIS";17
"330330 NITEROI";74
"330340 NOVA FRIBURGO";15
"330350 NOVA IGUACU";224
"330360 PARACAMBI";6
"330380 PARATY";11
"330385 PATY DO ALFERES";3
"330411 PORTO REAL";1
"330414 QUEIMADOS";21
"330415 QUISSAMA";6
"330420 RESENDE";11
"330430 RIO BONITO";6
"330440 RIO CLARO";2
"330452 RIO DAS OSTRAS";29
"330475 SAO FRANCISCO DE ITABAPOANA";7
"330500 SAO JOAO DA BARRA";10
"330510 SAO JOAO DE MERITI";334
"330520 SAO PEDRO DA ALDEIA";4
"330540 SAPUCAIA";10
"330550 SAQUAREMA";43
"330555 SEROPEDICA";3
"330560 SILVA JARDIM";4
"330570 SUMIDOURO";1
"330600 TRES RIOS";3
"330630 VOLTA REDONDA";22
"Total";1318
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
