Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Rio de Janeiro
Hiper c/ Diabete por Município
Período:Nov/2010
"Município";"Hiper_c/_Diabete"
"330010 ANGRA DOS REIS";5
"330020 ARARUAMA";3
"330025 ARRAIAL DO CABO";5
"330030 BARRA DO PIRAI";37
"330045 BELFORD ROXO";14
"330060 BOM JESUS DO ITABAPOANA";6
"330070 CABO FRIO";35
"330080 CACHOEIRAS DE MACACU";9
"330100 CAMPOS DOS GOYTACAZES";13
"330110 CANTAGALO";1
"330130 CASIMIRO DE ABREU";5
"330160 DUAS BARRAS";3
"330170 DUQUE DE CAXIAS";13
"330180 ENGENHEIRO PAULO DE FRONTIN";24
"330187 IGUABA GRANDE";1
"330190 ITABORAI";50
"330200 ITAGUAI";19
"330220 ITAPERUNA";2
"330227 JAPERI";4
"330240 MACAE";17
"330250 MAGE";8
"330260 MANGARATIBA";10
"330270 MARICA";20
"330280 MENDES";2
"330285 MESQUITA";38
"330290 MIGUEL PEREIRA";1
"330320 NILOPOLIS";12
"330330 NITEROI";80
"330340 NOVA FRIBURGO";4
"330350 NOVA IGUACU";157
"330360 PARACAMBI";12
"330370 PARAIBA DO SUL";1
"330380 PARATY";16
"330411 PORTO REAL";1
"330414 QUEIMADOS";40
"330415 QUISSAMA";4
"330420 RESENDE";11
"330430 RIO BONITO";58
"330440 RIO CLARO";1
"330452 RIO DAS OSTRAS";10
"330475 SAO FRANCISCO DE ITABAPOANA";6
"330500 SAO JOAO DA BARRA";18
"330510 SAO JOAO DE MERITI";221
"330515 SAO JOSE DO VALE DO RIO PRETO";4
"330520 SAO PEDRO DA ALDEIA";8
"330540 SAPUCAIA";12
"330550 SAQUAREMA";34
"330555 SEROPEDICA";23
"330560 SILVA JARDIM";3
"330570 SUMIDOURO";1
"330590 TRAJANO DE MORAES";5
"330600 TRES RIOS";9
"330620 VASSOURAS";1
"330630 VOLTA REDONDA";47
"Total";1144
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
