Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Rio de Janeiro
Hiper c/ Diabete por Município
Período:Dez/2010
"Município";"Hiper_c/_Diabete"
"330010 ANGRA DOS REIS";4
"330015 APERIBE";1
"330025 ARRAIAL DO CABO";2
"330030 BARRA DO PIRAI";3
"330045 BELFORD ROXO";3
"330060 BOM JESUS DO ITABAPOANA";5
"330070 CABO FRIO";23
"330080 CACHOEIRAS DE MACACU";5
"330100 CAMPOS DOS GOYTACAZES";20
"330130 CASIMIRO DE ABREU";1
"330160 DUAS BARRAS";2
"330170 DUQUE DE CAXIAS";13
"330180 ENGENHEIRO PAULO DE FRONTIN";10
"330187 IGUABA GRANDE";1
"330190 ITABORAI";17
"330200 ITAGUAI";19
"330220 ITAPERUNA";1
"330227 JAPERI";14
"330240 MACAE";6
"330260 MANGARATIBA";10
"330270 MARICA";10
"330280 MENDES";1
"330285 MESQUITA";25
"330320 NILOPOLIS";2
"330330 NITEROI";25
"330340 NOVA FRIBURGO";3
"330350 NOVA IGUACU";90
"330360 PARACAMBI";4
"330370 PARAIBA DO SUL";1
"330385 PATY DO ALFERES";17
"330414 QUEIMADOS";22
"330415 QUISSAMA";2
"330420 RESENDE";4
"330430 RIO BONITO";108
"330440 RIO CLARO";2
"330452 RIO DAS OSTRAS";30
"330475 SAO FRANCISCO DE ITABAPOANA";8
"330500 SAO JOAO DA BARRA";10
"330510 SAO JOAO DE MERITI";169
"330515 SAO JOSE DO VALE DO RIO PRETO";2
"330520 SAO PEDRO DA ALDEIA";6
"330540 SAPUCAIA";12
"330550 SAQUAREMA";12
"330555 SEROPEDICA";4
"330560 SILVA JARDIM";1
"330570 SUMIDOURO";4
"330590 TRAJANO DE MORAES";3
"330600 TRES RIOS";4
"330620 VASSOURAS";1
"330630 VOLTA REDONDA";38
"Total";780
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
