Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Rio de Janeiro
Hiper c/ Diabete por Município
Período:Fev/2010
"Município";"Hiper_c/_Diabete"
"330010 ANGRA DOS REIS";21
"330020 ARARUAMA";5
"330023 ARMACAO DOS BUZIOS";4
"330025 ARRAIAL DO CABO";3
"330030 BARRA DO PIRAI";18
"330045 BELFORD ROXO";5
"330070 CABO FRIO";46
"330080 CACHOEIRAS DE MACACU";13
"330093 CARAPEBUS";1
"330100 CAMPOS DOS GOYTACAZES";79
"330130 CASIMIRO DE ABREU";1
"330140 CONCEICAO DE MACABU";1
"330170 DUQUE DE CAXIAS";17
"330187 IGUABA GRANDE";1
"330190 ITABORAI";6
"330200 ITAGUAI";18
"330210 ITAOCARA";3
"330220 ITAPERUNA";13
"330227 JAPERI";11
"330240 MACAE";14
"330250 MAGE";18
"330260 MANGARATIBA";2
"330270 MARICA";8
"330280 MENDES";6
"330285 MESQUITA";38
"330290 MIGUEL PEREIRA";4
"330300 MIRACEMA";11
"330320 NILOPOLIS";3
"330330 NITEROI";80
"330340 NOVA FRIBURGO";27
"330350 NOVA IGUACU";101
"330360 PARACAMBI";8
"330370 PARAIBA DO SUL";1
"330380 PARATY";27
"330411 PORTO REAL";16
"330414 QUEIMADOS";12
"330415 QUISSAMA";5
"330420 RESENDE";10
"330430 RIO BONITO";1
"330440 RIO CLARO";3
"330452 RIO DAS OSTRAS";31
"330475 SAO FRANCISCO DE ITABAPOANA";19
"330500 SAO JOAO DA BARRA";12
"330510 SAO JOAO DE MERITI";67
"330520 SAO PEDRO DA ALDEIA";10
"330550 SAQUAREMA";1
"330555 SEROPEDICA";1
"330560 SILVA JARDIM";16
"330570 SUMIDOURO";2
"330590 TRAJANO DE MORAES";4
"330600 TRES RIOS";28
"330620 VASSOURAS";3
"330630 VOLTA REDONDA";70
"Total";925
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
