Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Rio de Janeiro
Hiper c/ Diabete por Município
Período:Mar/2010
"Município";"Hiper_c/_Diabete"
"330010 ANGRA DOS REIS";12
"330015 APERIBE";2
"330020 ARARUAMA";1
"330023 ARMACAO DOS BUZIOS";2
"330025 ARRAIAL DO CABO";14
"330030 BARRA DO PIRAI";7
"330040 BARRA MANSA";14
"330045 BELFORD ROXO";27
"330070 CABO FRIO";53
"330080 CACHOEIRAS DE MACACU";6
"330100 CAMPOS DOS GOYTACAZES";55
"330115 CARDOSO MOREIRA";5
"330130 CASIMIRO DE ABREU";8
"330140 CONCEICAO DE MACABU";1
"330160 DUAS BARRAS";6
"330170 DUQUE DE CAXIAS";19
"330187 IGUABA GRANDE";14
"330190 ITABORAI";6
"330200 ITAGUAI";21
"330220 ITAPERUNA";30
"330227 JAPERI";6
"330240 MACAE";15
"330250 MAGE";25
"330260 MANGARATIBA";42
"330270 MARICA";45
"330280 MENDES";4
"330285 MESQUITA";67
"330300 MIRACEMA";34
"330310 NATIVIDADE";8
"330320 NILOPOLIS";10
"330330 NITEROI";112
"330340 NOVA FRIBURGO";37
"330350 NOVA IGUACU";144
"330360 PARACAMBI";4
"330370 PARAIBA DO SUL";13
"330380 PARATY";21
"330410 PORCIUNCULA";2
"330411 PORTO REAL";18
"330412 QUATIS";3
"330414 QUEIMADOS";22
"330415 QUISSAMA";6
"330420 RESENDE";11
"330440 RIO CLARO";9
"330452 RIO DAS OSTRAS";28
"330475 SAO FRANCISCO DE ITABAPOANA";40
"330500 SAO JOAO DA BARRA";22
"330510 SAO JOAO DE MERITI";124
"330515 SAO JOSE DO VALE DO RIO PRETO";1
"330520 SAO PEDRO DA ALDEIA";34
"330530 SAO SEBASTIAO DO ALTO";1
"330540 SAPUCAIA";1
"330550 SAQUAREMA";4
"330560 SILVA JARDIM";5
"330570 SUMIDOURO";8
"330590 TRAJANO DE MORAES";4
"330600 TRES RIOS";42
"330620 VASSOURAS";7
"330630 VOLTA REDONDA";249
"Total";1531
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
