Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Rio de Janeiro
Hiper c/ Diabete por Município
Período:Abr/2010
"Município";"Hiper_c/_Diabete"
"330010 ANGRA DOS REIS";4
"330020 ARARUAMA";5
"330023 ARMACAO DOS BUZIOS";4
"330025 ARRAIAL DO CABO";3
"330030 BARRA DO PIRAI";3
"330040 BARRA MANSA";3
"330045 BELFORD ROXO";74
"330060 BOM JESUS DO ITABAPOANA";1
"330070 CABO FRIO";22
"330080 CACHOEIRAS DE MACACU";9
"330100 CAMPOS DOS GOYTACAZES";49
"330110 CANTAGALO";1
"330130 CASIMIRO DE ABREU";1
"330140 CONCEICAO DE MACABU";2
"330170 DUQUE DE CAXIAS";4
"330180 ENGENHEIRO PAULO DE FRONTIN";1
"330187 IGUABA GRANDE";19
"330190 ITABORAI";4
"330200 ITAGUAI";17
"330220 ITAPERUNA";22
"330227 JAPERI";6
"330240 MACAE";10
"330250 MAGE";13
"330260 MANGARATIBA";22
"330270 MARICA";8
"330280 MENDES";8
"330285 MESQUITA";32
"330290 MIGUEL PEREIRA";3
"330300 MIRACEMA";5
"330320 NILOPOLIS";14
"330330 NITEROI";85
"330340 NOVA FRIBURGO";29
"330350 NOVA IGUACU";111
"330360 PARACAMBI";4
"330370 PARAIBA DO SUL";3
"330380 PARATY";9
"330411 PORTO REAL";2
"330412 QUATIS";6
"330414 QUEIMADOS";27
"330415 QUISSAMA";3
"330420 RESENDE";5
"330430 RIO BONITO";10
"330440 RIO CLARO";5
"330452 RIO DAS OSTRAS";22
"330475 SAO FRANCISCO DE ITABAPOANA";8
"330500 SAO JOAO DA BARRA";14
"330510 SAO JOAO DE MERITI";97
"330520 SAO PEDRO DA ALDEIA";11
"330540 SAPUCAIA";2
"330550 SAQUAREMA";1
"330555 SEROPEDICA";2
"330560 SILVA JARDIM";3
"330570 SUMIDOURO";62
"330590 TRAJANO DE MORAES";4
"330600 TRES RIOS";32
"330620 VASSOURAS";1
"330630 VOLTA REDONDA";79
"Total";1006
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
