Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Rio de Janeiro
Hiper c/ Diabete por Município
Período:Mai/2010
"Município";"Hiper_c/_Diabete"
"330010 ANGRA DOS REIS";2
"330020 ARARUAMA";4
"330023 ARMACAO DOS BUZIOS";2
"330025 ARRAIAL DO CABO";3
"330030 BARRA DO PIRAI";7
"330040 BARRA MANSA";1
"330045 BELFORD ROXO";25
"330070 CABO FRIO";34
"330080 CACHOEIRAS DE MACACU";4
"330100 CAMPOS DOS GOYTACAZES";37
"330115 CARDOSO MOREIRA";13
"330120 CARMO";17
"330130 CASIMIRO DE ABREU";2
"330160 DUAS BARRAS";1
"330170 DUQUE DE CAXIAS";8
"330180 ENGENHEIRO PAULO DE FRONTIN";2
"330187 IGUABA GRANDE";20
"330190 ITABORAI";15
"330200 ITAGUAI";14
"330220 ITAPERUNA";13
"330227 JAPERI";6
"330240 MACAE";29
"330250 MAGE";13
"330260 MANGARATIBA";27
"330270 MARICA";12
"330280 MENDES";2
"330285 MESQUITA";35
"330300 MIRACEMA";4
"330320 NILOPOLIS";12
"330330 NITEROI";110
"330340 NOVA FRIBURGO";36
"330350 NOVA IGUACU";187
"330360 PARACAMBI";2
"330370 PARAIBA DO SUL";1
"330380 PARATY";13
"330410 PORCIUNCULA";2
"330411 PORTO REAL";3
"330412 QUATIS";10
"330414 QUEIMADOS";20
"330415 QUISSAMA";9
"330420 RESENDE";5
"330430 RIO BONITO";14
"330440 RIO CLARO";41
"330452 RIO DAS OSTRAS";41
"330475 SAO FRANCISCO DE ITABAPOANA";3
"330500 SAO JOAO DA BARRA";13
"330510 SAO JOAO DE MERITI";124
"330520 SAO PEDRO DA ALDEIA";13
"330540 SAPUCAIA";4
"330550 SAQUAREMA";1
"330555 SEROPEDICA";27
"330560 SILVA JARDIM";1
"330570 SUMIDOURO";41
"330600 TRES RIOS";14
"330615 VARRE-SAI";3
"330620 VASSOURAS";2
"330630 VOLTA REDONDA";169
"Total";1273
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
