Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Rio de Janeiro
Hiper c/ Diabete por Município
Período:Jun/2010
"Município";"Hiper_c/_Diabete"
"330010 ANGRA DOS REIS";3
"330020 ARARUAMA";7
"330025 ARRAIAL DO CABO";4
"330030 BARRA DO PIRAI";16
"330040 BARRA MANSA";4
"330045 BELFORD ROXO";9
"330060 BOM JESUS DO ITABAPOANA";2
"330070 CABO FRIO";25
"330080 CACHOEIRAS DE MACACU";2
"330100 CAMPOS DOS GOYTACAZES";18
"330115 CARDOSO MOREIRA";12
"330120 CARMO";5
"330130 CASIMIRO DE ABREU";3
"330140 CONCEICAO DE MACABU";1
"330160 DUAS BARRAS";9
"330170 DUQUE DE CAXIAS";14
"330180 ENGENHEIRO PAULO DE FRONTIN";4
"330187 IGUABA GRANDE";7
"330190 ITABORAI";3
"330200 ITAGUAI";7
"330220 ITAPERUNA";14
"330227 JAPERI";2
"330240 MACAE";11
"330250 MAGE";15
"330260 MANGARATIBA";10
"330270 MARICA";15
"330280 MENDES";2
"330285 MESQUITA";77
"330290 MIGUEL PEREIRA";4
"330310 NATIVIDADE";2
"330320 NILOPOLIS";5
"330330 NITEROI";81
"330340 NOVA FRIBURGO";7
"330350 NOVA IGUACU";212
"330360 PARACAMBI";3
"330370 PARAIBA DO SUL";1
"330380 PARATY";4
"330410 PORCIUNCULA";3
"330412 QUATIS";2
"330414 QUEIMADOS";10
"330415 QUISSAMA";6
"330420 RESENDE";2
"330430 RIO BONITO";2
"330440 RIO CLARO";20
"330452 RIO DAS OSTRAS";35
"330475 SAO FRANCISCO DE ITABAPOANA";12
"330500 SAO JOAO DA BARRA";13
"330510 SAO JOAO DE MERITI";171
"330520 SAO PEDRO DA ALDEIA";18
"330540 SAPUCAIA";20
"330550 SAQUAREMA";3
"330555 SEROPEDICA";21
"330560 SILVA JARDIM";1
"330570 SUMIDOURO";15
"330590 TRAJANO DE MORAES";4
"330600 TRES RIOS";6
"330630 VOLTA REDONDA";166
"Total";1150
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
