Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Rio de Janeiro
Hiper c/ Diabete por Município
Período:Jul/2010
"Município";"Hiper_c/_Diabete"
"330010 ANGRA DOS REIS";6
"330015 APERIBE";1
"330020 ARARUAMA";27
"330023 ARMACAO DOS BUZIOS";10
"330025 ARRAIAL DO CABO";6
"330030 BARRA DO PIRAI";82
"330040 BARRA MANSA";4
"330045 BELFORD ROXO";10
"330060 BOM JESUS DO ITABAPOANA";21
"330070 CABO FRIO";10
"330080 CACHOEIRAS DE MACACU";5
"330100 CAMPOS DOS GOYTACAZES";12
"330115 CARDOSO MOREIRA";10
"330130 CASIMIRO DE ABREU";11
"330140 CONCEICAO DE MACABU";3
"330170 DUQUE DE CAXIAS";21
"330180 ENGENHEIRO PAULO DE FRONTIN";12
"330187 IGUABA GRANDE";6
"330190 ITABORAI";3
"330200 ITAGUAI";24
"330220 ITAPERUNA";10
"330227 JAPERI";13
"330240 MACAE";5
"330250 MAGE";17
"330260 MANGARATIBA";38
"330270 MARICA";39
"330280 MENDES";3
"330285 MESQUITA";46
"330290 MIGUEL PEREIRA";3
"330300 MIRACEMA";2
"330320 NILOPOLIS";15
"330330 NITEROI";167
"330340 NOVA FRIBURGO";15
"330350 NOVA IGUACU";258
"330360 PARACAMBI";16
"330370 PARAIBA DO SUL";2
"330380 PARATY";13
"330410 PORCIUNCULA";6
"330411 PORTO REAL";4
"330414 QUEIMADOS";26
"330415 QUISSAMA";5
"330420 RESENDE";3
"330440 RIO CLARO";10
"330452 RIO DAS OSTRAS";31
"330475 SAO FRANCISCO DE ITABAPOANA";13
"330500 SAO JOAO DA BARRA";9
"330510 SAO JOAO DE MERITI";405
"330520 SAO PEDRO DA ALDEIA";9
"330540 SAPUCAIA";52
"330550 SAQUAREMA";9
"330555 SEROPEDICA";3
"330560 SILVA JARDIM";13
"330570 SUMIDOURO";9
"330590 TRAJANO DE MORAES";19
"330600 TRES RIOS";7
"330620 VASSOURAS";4
"330630 VOLTA REDONDA";61
"Total";1644
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
