Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Rio de Janeiro
Hiper c/ Diabete por Município
Período:Ago/2010
"Município";"Hiper_c/_Diabete"
"330010 ANGRA DOS REIS";7
"330015 APERIBE";2
"330020 ARARUAMA";7
"330023 ARMACAO DOS BUZIOS";9
"330025 ARRAIAL DO CABO";5
"330030 BARRA DO PIRAI";12
"330040 BARRA MANSA";1
"330045 BELFORD ROXO";38
"330060 BOM JESUS DO ITABAPOANA";10
"330070 CABO FRIO";11
"330080 CACHOEIRAS DE MACACU";24
"330093 CARAPEBUS";31
"330100 CAMPOS DOS GOYTACAZES";44
"330110 CANTAGALO";1
"330130 CASIMIRO DE ABREU";10
"330140 CONCEICAO DE MACABU";2
"330160 DUAS BARRAS";6
"330170 DUQUE DE CAXIAS";28
"330180 ENGENHEIRO PAULO DE FRONTIN";43
"330187 IGUABA GRANDE";9
"330190 ITABORAI";10
"330200 ITAGUAI";30
"330220 ITAPERUNA";41
"330227 JAPERI";20
"330240 MACAE";20
"330250 MAGE";22
"330260 MANGARATIBA";28
"330270 MARICA";61
"330280 MENDES";1
"330285 MESQUITA";47
"330300 MIRACEMA";5
"330310 NATIVIDADE";1
"330320 NILOPOLIS";7
"330330 NITEROI";140
"330340 NOVA FRIBURGO";21
"330350 NOVA IGUACU";200
"330360 PARACAMBI";11
"330370 PARAIBA DO SUL";24
"330380 PARATY";13
"330410 PORCIUNCULA";1
"330411 PORTO REAL";3
"330414 QUEIMADOS";24
"330415 QUISSAMA";5
"330420 RESENDE";7
"330430 RIO BONITO";18
"330440 RIO CLARO";10
"330452 RIO DAS OSTRAS";24
"330475 SAO FRANCISCO DE ITABAPOANA";9
"330500 SAO JOAO DA BARRA";14
"330510 SAO JOAO DE MERITI";543
"330520 SAO PEDRO DA ALDEIA";9
"330540 SAPUCAIA";1
"330550 SAQUAREMA";11
"330555 SEROPEDICA";3
"330560 SILVA JARDIM";5
"330570 SUMIDOURO";6
"330590 TRAJANO DE MORAES";2
"330600 TRES RIOS";7
"330620 VASSOURAS";3
"330630 VOLTA REDONDA";36
"Total";1743
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
