Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Rio de Janeiro
Hiper c/ Diabete por Município
Período:Set/2010
"Município";"Hiper_c/_Diabete"
"330010 ANGRA DOS REIS";20
"330015 APERIBE";2
"330020 ARARUAMA";9
"330025 ARRAIAL DO CABO";1
"330030 BARRA DO PIRAI";2
"330045 BELFORD ROXO";33
"330060 BOM JESUS DO ITABAPOANA";5
"330070 CABO FRIO";5
"330080 CACHOEIRAS DE MACACU";7
"330093 CARAPEBUS";12
"330100 CAMPOS DOS GOYTACAZES";40
"330130 CASIMIRO DE ABREU";8
"330140 CONCEICAO DE MACABU";2
"330160 DUAS BARRAS";1
"330170 DUQUE DE CAXIAS";46
"330180 ENGENHEIRO PAULO DE FRONTIN";50
"330187 IGUABA GRANDE";8
"330190 ITABORAI";47
"330200 ITAGUAI";17
"330220 ITAPERUNA";8
"330227 JAPERI";15
"330240 MACAE";13
"330250 MAGE";18
"330260 MANGARATIBA";15
"330270 MARICA";16
"330280 MENDES";1
"330285 MESQUITA";37
"330290 MIGUEL PEREIRA";1
"330320 NILOPOLIS";9
"330330 NITEROI";126
"330340 NOVA FRIBURGO";19
"330350 NOVA IGUACU";230
"330360 PARACAMBI";10
"330380 PARATY";2
"330410 PORCIUNCULA";2
"330411 PORTO REAL";2
"330414 QUEIMADOS";20
"330415 QUISSAMA";5
"330420 RESENDE";3
"330430 RIO BONITO";9
"330440 RIO CLARO";2
"330452 RIO DAS OSTRAS";9
"330475 SAO FRANCISCO DE ITABAPOANA";3
"330500 SAO JOAO DA BARRA";12
"330510 SAO JOAO DE MERITI";414
"330520 SAO PEDRO DA ALDEIA";1
"330540 SAPUCAIA";3
"330550 SAQUAREMA";18
"330555 SEROPEDICA";3
"330560 SILVA JARDIM";7
"330570 SUMIDOURO";3
"330590 TRAJANO DE MORAES";3
"330600 TRES RIOS";5
"330620 VASSOURAS";10
"330630 VOLTA REDONDA";18
"Total";1387
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
