Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Alagoas
Hiper c/ Diabete por Município
Período:Jan/2010
"Município";"Hiper_c/_Diabete"
"270030 ARAPIRACA";12
"270110 BRANQUINHA";3
"270140 CAMPO ALEGRE";71
"270230 CORURIPE";1
"270235 CRAIBAS";5
"270260 FEIRA GRANDE";18
"270280 FLEXEIRAS";9
"270300 IBATEGUARA";14
"270310 IGACI";1
"270400 JUNQUEIRO";3
"270410 LAGOA DA CANOA";1
"270430 MACEIO";14
"270630 PALMEIRA DOS INDIOS";9
"270670 PENEDO";5
"270690 PILAR";2
"270730 PORTO CALVO";1
"270740 PORTO DE PEDRAS";1
"270770 RIO LARGO";4
"270800 SANTANA DO IPANEMA";12
"270880 SAO SEBASTIAO";1
"270900 TANQUE D'ARCA";1
"270915 TEOTONIO VILELA";5
"270930 UNIAO DOS PALMARES";4
"Total";197
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
