Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Alagoas
Hiper c/ Diabete por Município
Período:Out/2010
"Município";"Hiper_c/_Diabete"
"270010 AGUA BRANCA";13
"270030 ARAPIRACA";25
"270110 BRANQUINHA";1
"270210 COLONIA LEOPOLDINA";10
"270230 CORURIPE";22
"270235 CRAIBAS";7
"270255 ESTRELA DE ALAGOAS";7
"270280 FLEXEIRAS";1
"270320 IGREJA NOVA";1
"270470 MARECHAL DEODORO";16
"270590 OLHO D'AGUA GRANDE";2
"270630 PALMEIRA DOS INDIOS";9
"270640 PAO DE ACUCAR";2
"270642 PARICONHA";2
"270670 PENEDO";5
"270690 PILAR";1
"270730 PORTO CALVO";9
"270760 QUEBRANGULO";4
"270770 RIO LARGO";3
"270800 SANTANA DO IPANEMA";2
"270840 SAO JOSE DA TAPERA";28
"270850 SAO LUIS DO QUITUNDE";2
"270870 SAO MIGUEL DOS MILAGRES";2
"270895 SENADOR RUI PALMEIRA";4
"270900 TANQUE D'ARCA";12
"270915 TEOTONIO VILELA";2
"270930 UNIAO DOS PALMARES";5
"Total";197
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
