Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Alagoas
Hiper c/ Diabete por Município
Período:Nov/2010
"Município";"Hiper_c/_Diabete"
"270010 AGUA BRANCA";4
"270020 ANADIA";3
"270030 ARAPIRACA";30
"270140 CAMPO ALEGRE";16
"270170 CAPELA";4
"270180 CARNEIROS";2
"270230 CORURIPE";10
"270235 CRAIBAS";1
"270255 ESTRELA DE ALAGOAS";32
"270260 FEIRA GRANDE";1
"270270 FELIZ DESERTO";1
"270310 IGACI";5
"270320 IGREJA NOVA";1
"270330 INHAPI";8
"270400 JUNQUEIRO";3
"270470 MARECHAL DEODORO";20
"270590 OLHO D'AGUA GRANDE";4
"270600 OLIVENCA";1
"270630 PALMEIRA DOS INDIOS";6
"270640 PAO DE ACUCAR";10
"270642 PARICONHA";2
"270670 PENEDO";7
"270760 QUEBRANGULO";7
"270800 SANTANA DO IPANEMA";6
"270840 SAO JOSE DA TAPERA";17
"270895 SENADOR RUI PALMEIRA";5
"270930 UNIAO DOS PALMARES";3
"Total";209
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
