Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Alagoas
Hiper c/ Diabete por Município
Período:Dez/2010
"Município";"Hiper_c/_Diabete"
"270010 AGUA BRANCA";12
"270030 ARAPIRACA";19
"270140 CAMPO ALEGRE";15
"270170 CAPELA";5
"270180 CARNEIROS";3
"270230 CORURIPE";3
"270235 CRAIBAS";1
"270255 ESTRELA DE ALAGOAS";2
"270330 INHAPI";46
"270400 JUNQUEIRO";1
"270410 LAGOA DA CANOA";2
"270470 MARECHAL DEODORO";2
"270630 PALMEIRA DOS INDIOS";4
"270670 PENEDO";4
"270740 PORTO DE PEDRAS";1
"270760 QUEBRANGULO";3
"270770 RIO LARGO";3
"270840 SAO JOSE DA TAPERA";20
"270850 SAO LUIS DO QUITUNDE";2
"270895 SENADOR RUI PALMEIRA";6
"270930 UNIAO DOS PALMARES";1
"270940 VICOSA";2
"Total";157
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
