Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Alagoas
Hiper c/ Diabete por Município
Período:Fev/2010
"Município";"Hiper_c/_Diabete"
"270030 ARAPIRACA";24
"270110 BRANQUINHA";7
"270140 CAMPO ALEGRE";4
"270230 CORURIPE";2
"270255 ESTRELA DE ALAGOAS";1
"270260 FEIRA GRANDE";4
"270290 GIRAU DO PONCIANO";2
"270300 IBATEGUARA";17
"270320 IGREJA NOVA";3
"270400 JUNQUEIRO";2
"270430 MACEIO";15
"270510 MATRIZ DE CAMARAGIBE";5
"270540 MONTEIROPOLIS";1
"270630 PALMEIRA DOS INDIOS";6
"270670 PENEDO";12
"270770 RIO LARGO";2
"270800 SANTANA DO IPANEMA";23
"270880 SAO SEBASTIAO";4
"270915 TEOTONIO VILELA";16
"270930 UNIAO DOS PALMARES";1
"Total";151
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
